geometry,seed,expected_hits_total,n_launches,low_hit,v_direct,v_denial,v_denial_raw,route_changed,hazard_at_tauT,lambda_tag
close_high_hit,1,3.5,6,0,38.5,6.000000000000002,6.000000000000002,1,0.0,
close_high_hit,2,3.5,6,0,38.5,6.000000000000002,6.000000000000002,1,0.0,
close_high_hit,3,3.5,6,0,38.5,6.000000000000002,6.000000000000002,1,0.0,
close_high_hit,4,3.5,6,0,38.5,6.000000000000002,6.000000000000002,1,0.0,
close_high_hit,5,3.5,6,0,38.5,6.000000000000002,6.000000000000002,1,0.0,
close_high_hit,6,3.5,6,0,38.5,6.000000000000002,6.000000000000002,1,0.0,
close_high_hit,7,3.5,6,0,38.5,6.000000000000002,6.000000000000002,1,0.0,
close_high_hit,8,3.5,6,0,38.5,6.000000000000002,6.000000000000002,1,0.0,
close_high_hit,9,3.5,6,0,38.5,6.000000000000002,6.000000000000002,1,0.0,
close_high_hit,10,3.5,6,0,38.5,6.000000000000002,6.000000000000002,1,0.0,
close_high_hit,11,3.5,6,0,38.5,6.000000000000002,6.000000000000002,1,0.0,
close_high_hit,12,3.5,6,0,38.5,6.000000000000002,6.000000000000002,1,0.0,
close_high_hit,13,3.5,6,0,38.5,6.000000000000002,6.000000000000002,1,0.0,
close_high_hit,14,3.5,6,0,38.5,6.000000000000002,6.000000000000002,1,0.0,
close_high_hit,15,3.5,6,0,38.5,6.000000000000002,6.000000000000002,1,0.0,
close_high_hit,16,3.5,6,0,38.5,6.000000000000002,6.000000000000002,1,0.0,
close_high_hit,17,3.5,6,0,38.5,6.000000000000002,6.000000000000002,1,0.0,
close_high_hit,18,3.5,6,0,38.5,6.000000000000002,6.000000000000002,1,0.0,
close_high_hit,19,3.5,6,0,38.5,6.000000000000002,6.000000000000002,1,0.0,
close_high_hit,20,3.5,6,0,38.5,6.000000000000002,6.000000000000002,1,0.0,
close_high_hit,21,3.5,6,0,38.5,6.000000000000002,6.000000000000002,1,0.0,
close_high_hit,22,3.5,6,0,38.5,6.000000000000002,6.000000000000002,1,0.0,
close_high_hit,23,3.5,6,0,38.5,6.000000000000002,6.000000000000002,1,0.0,
close_high_hit,24,3.5,6,0,38.5,6.000000000000002,6.000000000000002,1,0.0,
close_high_hit,25,3.5,6,0,38.5,6.000000000000002,6.000000000000002,1,0.0,
close_high_hit,26,3.5,6,0,38.5,6.000000000000002,6.000000000000002,1,0.0,
close_high_hit,27,3.5,6,0,38.5,6.000000000000002,6.000000000000002,1,0.0,
close_high_hit,28,3.5,6,0,38.5,6.000000000000002,6.000000000000002,1,0.0,
close_high_hit,29,3.5,6,0,38.5,6.000000000000002,6.000000000000002,1,0.0,
close_high_hit,30,3.5,6,0,38.5,6.000000000000002,6.000000000000002,1,0.0,
mid_low_hit,1,0.3333333333333333,4,1,3.6666666666666665,0.0,0.0,0,0.0,
