geometry,focal_speed_ratio,opponent_speed_ratio,V_FF,V_FC,V_CF,V_CC,F_blue_given_red_F,F_blue_given_red_C,mirror_value_error,exact
head_on,0.75,1.0,-0.16679650122572498,5.616552070913256,-7.058106972699756,-0.7981501509968136,6.891310471474031,6.41470222191007,8.881784197001252e-15,complete finite game to numerical LP precision
head_on,0.9,1.0,0.1965861759558193,4.422687300298067,-6.241635829835788,-0.03487791016700686,6.438222005791608,4.457565210465074,1.2434497875801753e-14,complete finite game to numerical LP precision
head_on,1.1,1.0,0.738586722248409,6.42949057806942,-3.2151339702621327,1.4832434811448654,3.953720692510542,4.946247096924555,4.440892098500626e-15,complete finite game to numerical LP precision
head_on,1.25,1.0,-0.15131840018783368,5.40043474816205,-4.450626843618794,-0.35264426114504,4.29930844343096,5.75307900930709,2.942091015256665e-15,complete finite game to numerical LP precision
parallel,0.75,1.0,-0.4621475563778385,1.3297609421991616,-5.31655753830746,-1.0412077501777686,4.854409981929622,2.3709686923769304,8.881784197001252e-15,complete finite game to numerical LP precision
parallel,0.9,1.0,0.0,2.5177460872750324,-4.2069816275733025,-0.5282460238944542,4.2069816275733025,3.0459921111694865,1.2434497875801753e-14,complete finite game to numerical LP precision
parallel,1.1,1.0,0.019506937245013654,4.649010644956102,-3.04364675403418,0.877350256760487,3.0631536912791937,3.7716603881956154,2.5757174171303632e-14,complete finite game to numerical LP precision
parallel,1.25,1.0,0.0,5.736329108508404,-1.8859971338787602,1.669977356307433,1.8859971338787602,4.066351752200971,3.552713678800501e-15,complete finite game to numerical LP precision
crossing,0.75,1.0,0.0,0.0,-4.954937304996599,-1.8855462154045524,4.954937304996599,1.8855462154045524,7.993605777301127e-15,complete finite game to numerical LP precision
crossing,0.9,1.0,0.0,0.6781214364770685,-3.323285184705834,-0.8628024298925778,3.323285184705834,1.5409238663696463,4.9960036108132044e-15,complete finite game to numerical LP precision
crossing,1.1,1.0,0.0,2.3730469550560516,-1.0419733949309355,0.4840669535341706,1.0419733949309355,1.888980001521881,4.996003610813204e-16,complete finite game to numerical LP precision
crossing,1.25,1.0,0.9791307730487742,4.963377415777428,-1.029588209919586,1.622157059213362,2.00871898296836,3.341220356564066,1.3322676295501878e-14,complete finite game to numerical LP precision
