model,geometry,eta_r,eta_v,grid,H,V_restricted,lower_bound,upper_bound,bound_width,relative_gap,LB_1,UB_1,P_lower,P_upper,point_estimate,sign_certified,certified_sign,expected_sign,solver_status,n_full_strategies,DO_iterations,restricted_rows,restricted_cols,h1_exact,runtime_sec
rigid,head_on,0.8,1.0,5,6,-10.6071,-12.0446,-9.0399,3.0047,0.2833,-1.1879,-1.1879,-10.8567,-7.852,-9.3543,1,-1,-1,SIGN-CERTIFIED/VALUE-LOOSE,15625,30,39,39,1,15.7
rigid,head_on,1.2,0.8,5,6,9.4505,7.2396,11.0823,3.8427,0.4066,1.904,1.904,5.3356,9.1783,7.2569,1,1,1,SIGN-CERTIFIED/VALUE-LOOSE,15625,30,39,39,1,15.6
rigid,head_on,0.8,1.2,5,6,-10.4564,-12.4884,-8.8665,3.6219,0.3464,-1.1879,-1.1879,-11.3006,-7.6786,-9.4896,1,-1,-1,SIGN-CERTIFIED/VALUE-LOOSE,15625,30,39,39,1,25.7
rigid,head_on,0.8,0.8,5,6,-11.1118,-12.9012,-9.0324,3.8689,0.3482,-1.1879,-1.1879,-11.7134,-7.8445,-9.7789,1,-1,-1,SIGN-CERTIFIED/VALUE-LOOSE,15625,30,39,39,1,26.5
rigid,head_on,1.2,1.2,5,6,10.8559,9.8765,12.9472,3.0707,0.2829,1.904,1.904,7.9725,11.0431,9.5078,1,1,1,SIGN-CERTIFIED/VALUE-LOOSE,15625,30,39,39,1,14.3
rigid,head_on,1.2,1.0,5,6,11.4653,9.7973,12.5605,2.7633,0.241,1.904,1.904,7.8932,10.6565,9.2749,1,1,1,SIGN-CERTIFIED/VALUE-LOOSE,15625,30,39,39,1,15.5
rigid,parallel,0.8,1.2,5,6,-5.9395,-6.9314,-4.8363,2.0951,0.3527,-0.3436,-0.3436,-6.5878,-4.4927,-5.5403,1,-1,-1,SIGN-CERTIFIED/VALUE-LOOSE,15625,30,39,39,1,16.3
rigid,parallel,0.8,1.0,5,6,-6.9427,-7.8074,-4.0709,3.7365,0.5382,-0.3436,-0.3436,-7.4638,-3.7273,-5.5955,1,-1,-1,SIGN-CERTIFIED/VALUE-LOOSE,15625,30,39,39,1,20.7
rigid,parallel,0.8,0.8,5,6,-8.5989,-10.5555,-7.201,3.3546,0.3901,-0.3436,-0.3436,-10.212,-6.8574,-8.5347,1,-1,-1,SIGN-CERTIFIED/VALUE-LOOSE,15625,30,39,39,1,21.2
rigid,parallel,1.2,0.8,5,6,8.2206,5.2422,10.0996,4.8574,0.5909,2.4168,2.4168,2.8254,7.6828,5.2541,1,1,1,SIGN-CERTIFIED/VALUE-LOOSE,15625,30,39,39,1,16.8
rigid,parallel,1.2,1.0,5,6,8.9964,7.5185,10.6203,3.1017,0.3448,2.4168,2.4168,5.1017,8.2035,6.6526,1,1,1,SIGN-CERTIFIED/VALUE-LOOSE,15625,30,39,39,1,18.2
rigid,parallel,1.2,1.2,5,6,9.8737,8.5512,11.5268,2.9756,0.3014,2.4168,2.4168,6.1344,9.11,7.6222,1,1,1,SIGN-CERTIFIED/VALUE-LOOSE,15625,30,39,39,1,17.9
rigid,crossing,0.8,1.0,5,6,-8.4138,-9.2122,-7.0142,2.198,0.2612,-1.0165,-1.0165,-8.1957,-5.9977,-7.0967,1,-1,-1,SIGN-CERTIFIED/VALUE-LOOSE,15625,30,39,39,1,17.8
rigid,crossing,0.8,0.8,5,6,-9.6062,-11.6878,-8.7066,2.9812,0.3103,-1.0165,-1.0165,-10.6713,-7.6901,-9.1807,1,-1,-1,SIGN-CERTIFIED/VALUE-LOOSE,15625,30,39,39,1,18.1
rigid,crossing,0.8,1.2,5,6,-7.0823,-8.0814,-6.6774,1.404,0.1982,-1.0165,-1.0165,-7.0649,-5.6609,-6.3629,1,-1,-1,SIGN-CERTIFIED/VALUE-LOOSE,15625,30,39,39,1,17.9
rigid,crossing,1.2,0.8,5,6,6.4495,4.4174,7.3797,2.9623,0.4593,1.3351,1.3351,3.0823,6.0446,4.5634,1,1,1,SIGN-CERTIFIED/VALUE-LOOSE,15625,30,39,39,1,21.5
rigid,crossing,1.2,1.2,5,6,9.5374,8.2146,11.8495,3.6348,0.3811,1.3351,1.3351,6.8795,10.5143,8.6969,1,1,1,SIGN-CERTIFIED/VALUE-LOOSE,15625,30,39,39,1,21.9
rigid,crossing,1.2,1.0,5,6,7.8555,6.6381,10.6233,3.9852,0.5073,1.3351,1.3351,5.303,9.2882,7.2956,1,1,1,SIGN-CERTIFIED/VALUE-LOOSE,15625,30,39,39,1,23.5
