geometry,seed,k,e_total,v_direct,v_denial,v_denial_raw,route_changed
close_high_hit,1,1,0.5833333333333334,6.416666666666667,6.000000000000002,6.000000000000002,1
close_high_hit,1,2,1.1666666666666667,12.833333333333334,6.000000000000002,6.000000000000002,1
close_high_hit,1,4,2.3333333333333335,25.666666666666668,6.000000000000002,6.000000000000002,1
close_high_hit,1,6,3.5,38.5,6.000000000000002,6.000000000000002,1
close_high_hit,2,1,0.5833333333333334,6.416666666666667,6.000000000000002,6.000000000000002,1
close_high_hit,2,2,1.1666666666666667,12.833333333333334,6.000000000000002,6.000000000000002,1
close_high_hit,2,4,2.3333333333333335,25.666666666666668,6.000000000000002,6.000000000000002,1
close_high_hit,2,6,3.5,38.5,6.000000000000002,6.000000000000002,1
close_high_hit,3,1,0.5833333333333334,6.416666666666667,6.000000000000002,6.000000000000002,1
close_high_hit,3,2,1.1666666666666667,12.833333333333334,6.000000000000002,6.000000000000002,1
close_high_hit,3,4,2.3333333333333335,25.666666666666668,6.000000000000002,6.000000000000002,1
close_high_hit,3,6,3.5,38.5,6.000000000000002,6.000000000000002,1
close_high_hit,4,1,0.5833333333333334,6.416666666666667,6.000000000000002,6.000000000000002,1
close_high_hit,4,2,1.1666666666666667,12.833333333333334,6.000000000000002,6.000000000000002,1
close_high_hit,4,4,2.3333333333333335,25.666666666666668,6.000000000000002,6.000000000000002,1
close_high_hit,4,6,3.5,38.5,6.000000000000002,6.000000000000002,1
close_high_hit,5,1,0.5833333333333334,6.416666666666667,6.000000000000002,6.000000000000002,1
close_high_hit,5,2,1.1666666666666667,12.833333333333334,6.000000000000002,6.000000000000002,1
close_high_hit,5,4,2.3333333333333335,25.666666666666668,6.000000000000002,6.000000000000002,1
close_high_hit,5,6,3.5,38.5,6.000000000000002,6.000000000000002,1
close_high_hit,6,1,0.5833333333333334,6.416666666666667,6.000000000000002,6.000000000000002,1
close_high_hit,6,2,1.1666666666666667,12.833333333333334,6.000000000000002,6.000000000000002,1
close_high_hit,6,4,2.3333333333333335,25.666666666666668,6.000000000000002,6.000000000000002,1
close_high_hit,6,6,3.5,38.5,6.000000000000002,6.000000000000002,1
close_high_hit,7,1,0.5833333333333334,6.416666666666667,6.000000000000002,6.000000000000002,1
close_high_hit,7,2,1.1666666666666667,12.833333333333334,6.000000000000002,6.000000000000002,1
close_high_hit,7,4,2.3333333333333335,25.666666666666668,6.000000000000002,6.000000000000002,1
close_high_hit,7,6,3.5,38.5,6.000000000000002,6.000000000000002,1
close_high_hit,8,1,0.5833333333333334,6.416666666666667,6.000000000000002,6.000000000000002,1
close_high_hit,8,2,1.1666666666666667,12.833333333333334,6.000000000000002,6.000000000000002,1
close_high_hit,8,4,2.3333333333333335,25.666666666666668,6.000000000000002,6.000000000000002,1
close_high_hit,8,6,3.5,38.5,6.000000000000002,6.000000000000002,1
close_high_hit,9,1,0.5833333333333334,6.416666666666667,6.000000000000002,6.000000000000002,1
close_high_hit,9,2,1.1666666666666667,12.833333333333334,6.000000000000002,6.000000000000002,1
