task,paired_clean_seed,config,return,failure_label,status,simulator_queries,cell
sampling,20146,"{""modality"": ""obs_noise"", ""agents"": [0, 2], ""t_start"": 70, ""t_end"": 80, ""severity"": 0.2}",195.750937095072,0,SUCCESS,1,"(0, 2, 3, 0)"
sampling,20147,"{""modality"": ""obs_noise"", ""agents"": [1], ""t_start"": 70, ""t_end"": 80, ""severity"": 0.2}",300.895033467561,0,SUCCESS,1,"(0, 2, 3, 1)"
sampling,20148,"{""modality"": ""obs_noise"", ""agents"": [2], ""t_start"": 70, ""t_end"": 80, ""severity"": 0.2}",61.01772441350795,1,SUCCESS,1,"(0, 2, 3, 2)"
sampling,20149,"{""modality"": ""obs_noise"", ""agents"": [0, 1], ""t_start"": 90, ""t_end"": 100, ""severity"": 0.2}",206.57693414390087,0,SUCCESS,1,"(0, 2, 4, 0)"
sampling,20150,"{""modality"": ""obs_noise"", ""agents"": [1], ""t_start"": 90, ""t_end"": 100, ""severity"": 0.2}",242.31576296195271,0,SUCCESS,1,"(0, 2, 4, 1)"
sampling,20151,"{""modality"": ""obs_noise"", ""agents"": [2], ""t_start"": 90, ""t_end"": 100, ""severity"": 0.2}",143.55060955983535,1,SUCCESS,1,"(0, 2, 4, 2)"
sampling,20152,"{""modality"": ""obs_noise"", ""agents"": [0], ""t_start"": 10, ""t_end"": 20, ""severity"": 0.4}",173.93298710457293,0,SUCCESS,1,"(0, 3, 0, 0)"
sampling,20153,"{""modality"": ""obs_noise"", ""agents"": [0, 1], ""t_start"": 10, ""t_end"": 20, ""severity"": 0.4}",305.31586314132437,0,SUCCESS,1,"(0, 3, 0, 0)"
sampling,20154,"{""modality"": ""obs_noise"", ""agents"": [1, 2], ""t_start"": 10, ""t_end"": 20, ""severity"": 0.4}",319.0364328718449,0,SUCCESS,1,"(0, 3, 0, 1)"
sampling,20155,"{""modality"": ""obs_noise"", ""agents"": [0], ""t_start"": 30, ""t_end"": 40, ""severity"": 0.4}",121.50761437186156,1,SUCCESS,1,"(0, 3, 1, 0)"
sampling,20156,"{""modality"": ""obs_noise"", ""agents"": [0, 2], ""t_start"": 30, ""t_end"": 40, ""severity"": 0.4}",313.5534196794033,0,SUCCESS,1,"(0, 3, 1, 0)"
sampling,20157,"{""modality"": ""obs_noise"", ""agents"": [0, 2], ""t_start"": 50, ""t_end"": 60, ""severity"": 0.4}",319.24156714975834,0,SUCCESS,1,"(0, 3, 2, 0)"
sampling,20158,"{""modality"": ""obs_noise"", ""agents"": [2], ""t_start"": 50, ""t_end"": 60, ""severity"": 0.4}",139.20501621393282,1,SUCCESS,1,"(0, 3, 2, 2)"
sampling,20159,"{""modality"": ""obs_noise"", ""agents"": [1], ""t_start"": 70, ""t_end"": 80, ""severity"": 0.4}",265.7595267177676,0,SUCCESS,1,"(0, 3, 3, 1)"
sampling,20160,"{""modality"": ""obs_noise"", ""agents"": [2], ""t_start"": 70, ""t_end"": 80, ""severity"": 0.4}",173.34813430805661,0,SUCCESS,1,"(0, 3, 3, 2)"
sampling,20161,"{""modality"": ""obs_noise"", ""agents"": [0], ""t_start"": 90, ""t_end"": 100, ""severity"": 0.4}",222.67874421039596,0,SUCCESS,1,"(0, 3, 4, 0)"
sampling,20162,"{""modality"": ""obs_noise"", ""agents"": [0, 1], ""t_start"": 90, ""t_end"": 100, ""severity"": 0.4}",198.61191972758206,0,SUCCESS,1,"(0, 3, 4, 0)"
sampling,20163,"{""modality"": ""obs_noise"", ""agents"": [1], ""t_start"": 90, ""t_end"": 100, ""severity"": 0.4}",228.11857072636485,0,SUCCESS,1,"(0, 3, 4, 1)"
sampling,20164,"{""modality"": ""obs_noise"", ""agents"": [1, 2], ""t_start"": 90, ""t_end"": 100, ""severity"": 0.4}",194.414944936987,0,SUCCESS,1,"(0, 3, 4, 1)"
