unit_id,track,task,method,attempted,status,reason,exception_type,exception_message,trace_path,sim_queries,sim_steps,wall_seconds,payload
sampling_val_s0_e43,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 209.13519083568826, ""length"": 100}"
sampling_val_s0_e44,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 226.04543186071533, ""length"": 100}"
sampling_val_s0_e45,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 45.949183044719874, ""length"": 100}"
sampling_val_s0_e46,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 194.8810811701078, ""length"": 100}"
sampling_val_s0_e47,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 122.856605479979, ""length"": 100}"
sampling_val_s0_e48,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 241.3266834014794, ""length"": 100}"
sampling_val_s0_e49,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 264.8297912549755, ""length"": 100}"
sampling_val_s0_e50,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 172.06097492589697, ""length"": 100}"
sampling_val_s0_e51,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 262.89202519878745, ""length"": 100}"
sampling_val_s0_e52,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 5.486795211151896, ""length"": 100}"
sampling_val_s0_e53,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 0.09055784946555656, ""length"": 100}"
sampling_val_s0_e54,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 77.83609411012816, ""length"": 100}"
sampling_val_s0_e55,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 0.14736683269050488, ""length"": 100}"
sampling_val_s0_e56,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 121.61564931996007, ""length"": 100}"
sampling_val_s0_e57,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 291.56946191220777, ""length"": 100}"
sampling_val_s0_e58,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 211.42026807409002, ""length"": 100}"
sampling_val_s0_e59,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 133.95673285748154, ""length"": 100}"
sampling_val_s0_e60,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 111.30066781541746, ""length"": 100}"
sampling_val_s0_e61,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 221.1840630089191, ""length"": 100}"
sampling_val_s0_e62,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 241.82461340725422, ""length"": 100}"
sampling_val_s0_e63,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 306.2110861146357, ""length"": 100}"
sampling_val_s0_e64,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 125.80343406842769, ""length"": 100}"
sampling_val_s0_e65,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 200.36136814020574, ""length"": 100}"
sampling_val_s0_e66,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 242.52789730159566, ""length"": 100}"
sampling_val_s0_e67,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 64.27912421772257, ""length"": 100}"
sampling_val_s0_e68,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 152.31766815672518, ""length"": 100}"
sampling_val_s0_e69,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 174.28041827632114, ""length"": 100}"
sampling_val_s0_e70,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 241.80371708795428, ""length"": 100}"
sampling_val_s0_e71,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 284.6890550404787, ""length"": 100}"
sampling_val_s0_e72,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 238.77377661201172, ""length"": 100}"
sampling_val_s0_e73,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 195.95822160691023, ""length"": 100}"
sampling_val_s0_e74,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 133.23836496798322, ""length"": 100}"
sampling_val_s0_e75,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 260.724851150997, ""length"": 100}"
sampling_val_s0_e76,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 74.84888937307215, ""length"": 100}"
sampling_val_s0_e77,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 220.7305158926756, ""length"": 100}"
sampling_val_s0_e78,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 198.68014494655654, ""length"": 100}"
sampling_val_s0_e79,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 166.38337640751485, ""length"": 100}"
sampling_val_s0_e80,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 204.87340176006546, ""length"": 100}"
sampling_val_s0_e81,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 202.7050280557014, ""length"": 100}"
sampling_val_s0_e82,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 248.7193049700436, ""length"": 100}"
sampling_val_s0_e83,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 144.85030544435904, ""length"": 100}"
sampling_val_s0_e84,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 7.027101242121148, ""length"": 100}"
sampling_val_s0_e85,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 236.10744380950928, ""length"": 100}"
sampling_val_s0_e86,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 155.2419155538082, ""length"": 100}"
sampling_val_s0_e87,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 193.9367445046082, ""length"": 100}"
sampling_val_s0_e88,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 172.31008459069153, ""length"": 100}"
sampling_val_s0_e89,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 213.38492575474083, ""length"": 100}"
sampling_val_s0_e90,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 271.23981622606516, ""length"": 100}"
sampling_val_s0_e91,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 278.06693779304624, ""length"": 100}"
sampling_val_s0_e92,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 217.64897920625225, ""length"": 100}"
sampling_val_s0_e93,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 251.77966728663307, ""length"": 100}"
sampling_val_s0_e94,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 201.05692455824465, ""length"": 100}"
sampling_val_s0_e95,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 80.82581709325837, ""length"": 100}"
sampling_val_s0_e96,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 45.835664157328054, ""length"": 100}"
sampling_val_s0_e97,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 87.23638105254213, ""length"": 100}"
sampling_val_s0_e98,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 225.34612293851507, ""length"": 100}"
sampling_val_s0_e99,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 0.0005087959545976441, ""length"": 100}"
sampling_val_s1_e0,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 193.38301764428616, ""length"": 100}"
sampling_val_s1_e1,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 262.30344441861746, ""length"": 100}"
sampling_val_s1_e2,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 241.11682196559195, ""length"": 100}"
sampling_val_s1_e3,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 267.7191532230254, ""length"": 100}"
sampling_val_s1_e4,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 135.01720972917974, ""length"": 100}"
sampling_val_s1_e5,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 244.75638324022293, ""length"": 100}"
sampling_val_s1_e6,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 141.21536785069605, ""length"": 100}"
sampling_val_s1_e7,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 192.8886998846865, ""length"": 100}"
sampling_val_s1_e8,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 145.24884350100638, ""length"": 100}"
sampling_val_s1_e9,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 261.7515690922737, ""length"": 100}"
sampling_val_s1_e10,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 82.21635858131877, ""length"": 100}"
sampling_val_s1_e11,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 161.16753516231256, ""length"": 100}"
sampling_val_s1_e12,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 154.75819625014117, ""length"": 100}"
sampling_val_s1_e13,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 209.11285643220322, ""length"": 100}"
sampling_val_s1_e14,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 222.27730778906871, ""length"": 100}"
sampling_val_s1_e15,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 266.2310294955969, ""length"": 100}"
sampling_val_s1_e16,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 296.05692845745943, ""length"": 100}"
sampling_val_s1_e17,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 268.67974982969463, ""length"": 100}"
sampling_val_s1_e18,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 230.39396258634588, ""length"": 100}"
sampling_val_s1_e19,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 293.4819830311462, ""length"": 100}"
sampling_val_s1_e20,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 267.3459541168995, ""length"": 100}"
sampling_val_s1_e21,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 58.51019281837689, ""length"": 100}"
sampling_val_s1_e22,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 137.3267236299185, ""length"": 100}"
