task,paired_clean_seed,config,return,failure_label,status,simulator_queries,cell
balance,20038,"{""modality"": ""act_drop"", ""agents"": [2], ""t_start"": 50, ""t_end"": 60, ""severity"": 0.3}",117.75064086914062,0,SUCCESS,1,"(2, 1, 2, 2)"
balance,20039,"{""modality"": ""act_drop"", ""agents"": [0], ""t_start"": 70, ""t_end"": 80, ""severity"": 0.3}",119.56613159179688,0,SUCCESS,1,"(2, 1, 3, 0)"
balance,20040,"{""modality"": ""act_drop"", ""agents"": [1], ""t_start"": 70, ""t_end"": 80, ""severity"": 0.3}",115.46546173095703,0,SUCCESS,1,"(2, 1, 3, 1)"
balance,20041,"{""modality"": ""act_drop"", ""agents"": [2], ""t_start"": 70, ""t_end"": 80, ""severity"": 0.3}",140.48744201660156,0,SUCCESS,1,"(2, 1, 3, 2)"
balance,20042,"{""modality"": ""act_drop"", ""agents"": [0], ""t_start"": 90, ""t_end"": 100, ""severity"": 0.3}",139.62728118896484,0,SUCCESS,1,"(2, 1, 4, 0)"
balance,20043,"{""modality"": ""act_drop"", ""agents"": [1], ""t_start"": 90, ""t_end"": 100, ""severity"": 0.3}",128.18428802490234,0,SUCCESS,1,"(2, 1, 4, 1)"
balance,20044,"{""modality"": ""act_drop"", ""agents"": [2], ""t_start"": 90, ""t_end"": 100, ""severity"": 0.3}",116.96280670166016,0,SUCCESS,1,"(2, 1, 4, 2)"
balance,20045,"{""modality"": ""act_noise"", ""agents"": [0], ""t_start"": 10, ""t_end"": 20, ""severity"": 0.05}",120.6236572265625,0,SUCCESS,1,"(1, 0, 0, 0)"
balance,20046,"{""modality"": ""act_noise"", ""agents"": [1], ""t_start"": 10, ""t_end"": 20, ""severity"": 0.05}",114.02357482910156,1,SUCCESS,1,"(1, 0, 0, 1)"
balance,20047,"{""modality"": ""act_noise"", ""agents"": [2], ""t_start"": 10, ""t_end"": 20, ""severity"": 0.05}",115.6702651977539,0,SUCCESS,1,"(1, 0, 0, 2)"
balance,20048,"{""modality"": ""act_noise"", ""agents"": [0], ""t_start"": 30, ""t_end"": 40, ""severity"": 0.05}",83.11894226074219,1,SUCCESS,1,"(1, 0, 1, 0)"
balance,20049,"{""modality"": ""act_noise"", ""agents"": [1], ""t_start"": 30, ""t_end"": 40, ""severity"": 0.05}",134.48848342895508,0,SUCCESS,1,"(1, 0, 1, 1)"
balance,20050,"{""modality"": ""act_noise"", ""agents"": [2], ""t_start"": 30, ""t_end"": 40, ""severity"": 0.05}",112.1557388305664,0,SUCCESS,1,"(1, 0, 1, 2)"
balance,20051,"{""modality"": ""act_noise"", ""agents"": [0], ""t_start"": 50, ""t_end"": 60, ""severity"": 0.05}",114.64549255371094,0,SUCCESS,1,"(1, 0, 2, 0)"
balance,20052,"{""modality"": ""act_noise"", ""agents"": [1], ""t_start"": 50, ""t_end"": 60, ""severity"": 0.05}",120.15442657470703,0,SUCCESS,1,"(1, 0, 2, 1)"
balance,20053,"{""modality"": ""act_noise"", ""agents"": [2], ""t_start"": 50, ""t_end"": 60, ""severity"": 0.05}",133.57490158081055,0,SUCCESS,1,"(1, 0, 2, 2)"
balance,20054,"{""modality"": ""act_noise"", ""agents"": [0], ""t_start"": 70, ""t_end"": 80, ""severity"": 0.05}",131.5169219970703,0,SUCCESS,1,"(1, 0, 3, 0)"
balance,20055,"{""modality"": ""act_noise"", ""agents"": [1], ""t_start"": 70, ""t_end"": 80, ""severity"": 0.05}",128.86090850830078,0,SUCCESS,1,"(1, 0, 3, 1)"
balance,20056,"{""modality"": ""act_noise"", ""agents"": [2], ""t_start"": 70, ""t_end"": 80, ""severity"": 0.05}",144.5259017944336,0,SUCCESS,1,"(1, 0, 3, 2)"
balance,20057,"{""modality"": ""act_noise"", ""agents"": [0], ""t_start"": 90, ""t_end"": 100, ""severity"": 0.05}",135.14781188964844,0,SUCCESS,1,"(1, 0, 4, 0)"
balance,20058,"{""modality"": ""act_noise"", ""agents"": [1], ""t_start"": 90, ""t_end"": 100, ""severity"": 0.05}",107.30094909667969,1,SUCCESS,1,"(1, 0, 4, 1)"
balance,20059,"{""modality"": ""act_noise"", ""agents"": [2], ""t_start"": 90, ""t_end"": 100, ""severity"": 0.05}",125.66986083984375,0,SUCCESS,1,"(1, 0, 4, 2)"
balance,20060,"{""modality"": ""act_noise"", ""agents"": [0], ""t_start"": 10, ""t_end"": 20, ""severity"": 0.2}",112.15461730957031,1,SUCCESS,1,"(1, 1, 0, 0)"
