cell,side,opponent,T,K,W_K,S_star,LB,UB,gap,status,seconds,policy_count,iterations,n_schedules,zero_reach
head_on_v0.85_d16_T6_G3_none,blue,C,6,0,0.23498781299269145,[],0.23498731923986607,0.23498830674546733,9.875056012622797e-07,certified_numeric,0.9973415830027079,50,50,1,
head_on_v0.85_d16_T6_G3_none,blue,C,6,1,3.328195732271391,[2],3.3281952385186235,3.328196226024159,9.875055360089214e-07,certified_numeric,2.0040025419948506,,,6,
head_on_v0.85_d16_T6_G3_none,blue,C,6,2,4.9144940069575265,"[1, 2]",4.914493513204755,4.914494500710291,9.875055364530106e-07,certified_numeric,2.0408979169951635,,,16,
head_on_v0.85_d16_T6_G3_none,blue,C,6,3,5.832312178976455,"[1, 2, 4]",5.832311685223687,5.832312672729222,9.875055346766538e-07,certified_numeric,4.068309708003653,,,26,
head_on_v0.85_d16_T6_G3_none,blue,C,6,4,6.757481205088834,"[1, 2, 3, 4]",6.757480711336068,6.7574816988416,9.875055320121185e-07,certified_numeric,4.530870999995386,,,31,
head_on_v0.85_d16_T6_G3_none,blue,C,6,5,6.816069540555112,"[1, 2, 3, 4, 5]",6.816069046802345,6.816070034307879,9.875055346766538e-07,certified_numeric,31.018893874999776,,,32,
head_on_v0.85_d16_T6_G3_none,blue,F,6,0,-6.381095911095752,[],-6.381096404848519,-6.381095417342985,9.875055333452565e-07,certified_numeric,46.703780541000015,,,1,
head_on_v0.85_d16_T6_G3_none,blue,F,6,1,-1.372687229822536,[2],-1.3726878426403526,-1.3726866170047196,1.2256356329842788e-06,certified_numeric,4.181015082998783,,,6,
head_on_v0.85_d16_T6_G3_none,blue,F,6,2,-0.12406922805054249,"[1, 2]",-0.12406986453110687,-0.12406859156997811,1.2729611287610762e-06,certified_numeric,4.18219062499702,,,16,
head_on_v0.85_d16_T6_G3_none,blue,F,6,3,0.1650476884142909,"[1, 2, 4]",0.16504677132597556,0.16504860550260625,1.8341766306864297e-06,certified_numeric,13.697293249999348,,,26,
head_on_v0.85_d16_T6_G3_none,blue,F,6,4,0.5817215118643919,"[1, 2, 3, 4]",0.5817203972536514,0.5817226264751324,2.2292214810147105e-06,certified_numeric,13.502252999998746,,,31,
head_on_v0.85_d16_T6_G3_none,blue,F,6,5,0.668851615692641,"[1, 2, 3, 4, 5]",0.6688500573754668,0.6688531740098151,3.1166343483026106e-06,certified_numeric,0.023994374998437706,,,32,
head_on_v1.15_d16_T6_G3_none,blue,C,6,0,1.6250095132256526,[],1.6250090028158817,1.6250100236354417,1.0208195599052048e-06,certified_numeric,1.1416248340028687,54,54,1,
head_on_v1.15_d16_T6_G3_none,blue,C,6,1,5.0569928767549195,[1],5.056992366345162,5.056993387164679,1.0208195168285514e-06,certified_numeric,1.9446030000035535,,,6,
head_on_v1.15_d16_T6_G3_none,blue,C,6,2,6.4785564627630015,"[1, 2]",6.478555952353243,6.47855697317276,1.0208195168285514e-06,certified_numeric,2.269849083000736,,,16,
head_on_v1.15_d16_T6_G3_none,blue,C,6,3,6.7957930836004685,"[1, 2, 4]",6.795792573190709,6.795793594010229,1.020819520381265e-06,certified_numeric,5.329588957996748,,,26,
head_on_v1.15_d16_T6_G3_none,blue,C,6,4,7.015483692360229,"[1, 2, 4, 5]",7.015483181950469,7.015484202769991,1.020819522157622e-06,certified_numeric,31.958463791001122,,,31,
head_on_v1.15_d16_T6_G3_none,blue,C,6,5,7.01548369236023,"[1, 2, 3, 4, 5]",7.015483181950473,7.015484202769989,1.020819515940373e-06,certified_numeric,33.14279933299986,,,32,
head_on_v1.15_d16_T6_G3_none,blue,F,6,0,-3.9652155470095187,[],-3.9652160574192794,-3.965215036599758,1.0208195213579074e-06,certified_numeric,21.69819737499347,,,1,
head_on_v1.15_d16_T6_G3_none,blue,F,6,1,-0.49324342608511484,[1],-0.49324399321464135,-0.49324285895558834,1.1342590529840213e-06,certified_numeric,3.7784839999949327,,,6,
head_on_v1.15_d16_T6_G3_none,blue,F,6,2,-0.4932434260851135,"[1, 2]",-0.493244173214084,-0.49324267895614304,1.4942579409305173e-06,certified_numeric,2.5645549170003505,,,16,
head_on_v1.15_d16_T6_G3_none,blue,F,6,3,-0.4932434260851135,"[1, 2]",-0.493244173214084,-0.49324267895614304,1.4942579409305173e-06,certified_numeric,2.5645549170003505,,,26,
head_on_v1.15_d16_T6_G3_none,blue,F,6,4,-0.4932434260851135,"[1, 2]",-0.493244173214084,-0.49324267895614304,1.4942579409305173e-06,certified_numeric,2.5645549170003505,,,31,
head_on_v1.15_d16_T6_G3_none,blue,F,6,5,-0.4932434260851135,"[1, 2]",-0.493244173214084,-0.49324267895614304,1.4942579409305173e-06,certified_numeric,2.5645549170003505,,,32,
head_on_v1_d16_T6_G3_none,blue,C,6,0,5.0385146284684935e-17,[],-4.805913658358656e-07,4.805955766215055e-07,9.611869424573712e-07,certified_numeric,1.2339844169982825,57,57,1,
head_on_v1_d16_T6_G3_none,blue,C,6,1,2.1409677775406655,[3],2.14096729694949,2.140968258131842,9.61182351838961e-07,certified_numeric,2.0708933330024593,,,6,
head_on_v1_d16_T6_G3_none,blue,C,6,2,4.346615421164014,"[1, 2]",4.346614940572836,4.3466159017551895,9.611823531712286e-07,certified_numeric,1.9513963749996037,,,16,
head_on_v1_d16_T6_G3_none,blue,C,6,3,5.24463061163573,"[1, 2, 4]",5.244630131044553,5.244631092226909,9.611823558357639e-07,certified_numeric,4.545036125004117,,,26,
