cell,geometry,speed,distance,T,grid,ablation,phases,opponent,scale,K,optimized_S,uniform_S,gain_LB,gain_UB,gain,strict_numeric_improvement
head_on_v0.85_d16_T6_G3_none,head_on,0.85,16.0,6,3,none,development,F,49.375276689423764,0,,,-9.875055333452565e-07,9.875055333452565e-07,0.0,False
head_on_v0.85_d16_T6_G3_none,head_on,0.85,16.0,6,3,none,development,F,49.375276689423764,1,2,3,1.4787770646584195,1.4787796705593919,1.4787783676089057,True
head_on_v0.85_d16_T6_G3_none,head_on,0.85,16.0,6,3,none,development,F,49.375276689423764,2,"1,2","2,4",1.041382427452288,1.0413854862966838,1.041383956874486,True
head_on_v0.85_d16_T6_G3_none,head_on,0.85,16.0,6,3,none,development,F,49.375276689423764,3,"1,2,4","1,3,4",0.2053004325113543,0.20530422647861682,0.20530232949498556,True
head_on_v0.85_d16_T6_G3_none,head_on,0.85,16.0,6,3,none,development,F,49.375276689423764,4,"1,2,3,4","1,2,3,4",-2.229221480964938e-06,2.229221480964938e-06,0.0,False
head_on_v0.85_d16_T6_G3_none,head_on,0.85,16.0,6,3,none,development,F,49.375276689423764,5,"1,2,3,4,5","1,2,3,4,5",-3.1166343483768344e-06,3.1166343483768344e-06,0.0,False
head_on_v0.85_d16_T6_G3_none,head_on,0.85,16.0,6,3,none,development,C,49.375276689423764,0,,,-9.8750560126315e-07,9.8750560126315e-07,0.0,False
head_on_v0.85_d16_T6_G3_none,head_on,0.85,16.0,6,3,none,development,C,49.375276689423764,1,2,3,1.6427771473767454,1.6427791223878452,1.6427781348823045,True
head_on_v0.85_d16_T6_G3_none,head_on,0.85,16.0,6,3,none,development,C,49.375276689423764,2,"1,2","2,4",1.0972525636903692,1.0972545387014372,1.0972535511959065,True
head_on_v0.85_d16_T6_G3_none,head_on,0.85,16.0,6,3,none,development,C,49.375276689423764,3,"1,2,4","1,3,4",0.14851422280208215,0.14851619781315062,0.14851521030761727,True
head_on_v0.85_d16_T6_G3_none,head_on,0.85,16.0,6,3,none,development,C,49.375276689423764,4,"1,2,3,4","1,2,3,4",-9.875055315688996e-07,9.875055315688996e-07,0.0,False
head_on_v0.85_d16_T6_G3_none,head_on,0.85,16.0,6,3,none,development,C,49.375276689423764,5,"1,2,3,4,5","1,2,3,4,5",-9.87505534233435e-07,9.87505534233435e-07,0.0,False
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,F,48.059117569743584,0,,,-9.61182356817858e-07,9.61182356817858e-07,0.0,False
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,F,48.059117569743584,1,1,3,1.6880895557152944,1.6880922782840968,1.6880909169996956,True
