geometry,eta_r,eta_v,grid,H,V_restricted,lower_bound,upper_bound,bound_width,relative_gap,LB_1,UB_1,P_lower,P_upper,point_estimate,sign_certified,certified_sign,expected_sign,solver_status,n_full_strategies,DO_iterations,restricted_rows,restricted_cols,num_payoff_evals,runtime_sec
head_on,0.8,0.8,5,6,-12.5022,-12.5022,-11.9595,0.5427,0.0434,-1.7128,-1.7128,-10.7894,-10.2467,-10.5181,1,-1,-1,tight,15625,25,59,58,0,15.6
head_on,1.2,1.0,5,6,13.1747,13.1747,13.7018,0.5271,0.04,3.2123,3.2123,9.9624,10.4894,10.2259,1,1,1,tight,15625,29,63,63,0,17.3
head_on,1.2,0.8,5,6,12.0976,11.9123,12.4808,0.5685,0.047,3.2123,3.2123,8.7,9.2684,8.9842,1,1,1,tight,15625,30,64,64,0,18.6
head_on,0.8,1.0,5,6,-11.924,-12.2221,-11.924,0.2981,0.025,-1.7128,-1.7128,-10.5094,-10.2113,-10.3603,1,-1,-1,tight,15625,35,69,69,0,19.6
head_on,0.8,1.2,5,6,-11.1468,-11.8183,-10.8905,0.9279,0.0832,-1.7128,-1.7128,-10.1055,-9.1777,-9.6416,1,-1,-1,SIGN-CERTIFIED/VALUE-LOOSE,15625,40,75,75,0,21.2
head_on,1.2,1.2,5,6,13.3913,13.2422,13.8685,0.6263,0.0468,3.2123,3.2123,10.0299,10.6562,10.343,1,1,1,tight,15625,31,65,65,0,18.6
parallel,0.8,0.8,5,6,-8.8134,-9.722,-7.662,2.0601,0.2337,-1.0686,-1.0686,-8.6534,-6.5934,-7.6234,1,-1,-1,SIGN-CERTIFIED/VALUE-LOOSE,15625,40,75,75,0,21.7
parallel,0.8,1.0,5,6,-7.3203,-7.5656,-7.2442,0.3214,0.0439,-1.0686,-1.0686,-6.497,-6.1755,-6.3363,1,-1,-1,tight,15625,40,74,74,0,21.9
parallel,0.8,1.2,5,6,-6.5053,-6.7306,-6.4473,0.2833,0.0436,-1.0686,-1.0686,-5.662,-5.3787,-5.5203,1,-1,-1,tight,15625,40,74,74,0,22.1
parallel,1.2,0.8,5,6,7.161,6.8168,7.7686,0.9518,0.1329,1.3351,1.3351,5.4818,6.4336,5.9577,1,1,1,SIGN-CERTIFIED/VALUE-LOOSE,15625,40,75,75,0,22.7
parallel,1.2,1.0,5,6,8.3696,7.8638,8.7919,0.9282,0.1109,1.3351,1.3351,6.5287,7.4569,6.9928,1,1,1,SIGN-CERTIFIED/VALUE-LOOSE,15625,40,75,75,0,22.4
crossing,0.8,1.0,5,6,-9.1296,-9.3761,-9.0303,0.3458,0.0379,-1.0165,-1.0165,-8.3596,-8.0138,-8.1867,1,-1,-1,tight,15625,33,67,67,0,19.0
parallel,1.2,1.2,5,6,9.499,9.1013,11.7875,2.6862,0.2828,1.3351,1.3351,7.7663,10.4524,9.1093,1,1,1,SIGN-CERTIFIED/VALUE-LOOSE,15625,40,75,75,0,22.1
crossing,0.8,0.8,5,6,-9.405,-9.5826,-9.1085,0.4741,0.0504,-1.0165,-1.0165,-8.5661,-8.092,-8.329,1,-1,-1,SIGN-CERTIFIED/VALUE-LOOSE,15625,40,75,75,0,21.6
crossing,0.8,1.2,5,6,-7.6944,-7.8963,-7.6336,0.2627,0.0341,-1.0165,-1.0165,-6.8798,-6.6171,-6.7485,1,-1,-1,tight,15625,38,72,72,0,21.5
crossing,1.2,0.8,5,6,6.5415,6.325,6.5415,0.2165,0.0331,1.3351,1.3351,4.9899,5.2063,5.0981,1,1,1,tight,15625,37,71,71,0,20.9
crossing,1.2,1.0,5,6,7.7681,7.7681,8.1153,0.3473,0.0447,1.3351,1.3351,6.433,6.7802,6.6066,1,1,1,tight,15625,33,67,67,0,19.9
crossing,1.2,1.2,5,6,10.122,9.8615,10.3275,0.4659,0.046,1.3351,1.3351,8.5264,8.9923,8.7594,1,1,1,tight,15625,34,68,68,0,19.6
