policy,geometry,seed,damage_axis,damage_allies,diff,axis_win,allies_win
balanced,head_on,48,0,0,0,0,0
balanced,head_on,49,3,4,1,1,0
balanced,head_on,50,12,3,-9,0,1
balanced,head_on,51,7,5,-2,0,1
balanced,head_on,52,0,2,2,1,0
balanced,head_on,53,1,2,1,1,0
balanced,head_on,54,0,9,9,1,0
balanced,head_on,55,3,3,0,0,0
balanced,head_on,56,4,12,8,1,0
balanced,head_on,57,12,2,-10,0,1
balanced,head_on,58,0,3,3,1,0
balanced,head_on,59,0,0,0,0,0
balanced,head_on,60,2,6,4,1,0
balanced,crossing,1,0,0,0,0,0
balanced,crossing,2,9,4,-5,0,1
balanced,crossing,3,1,3,2,1,0
balanced,crossing,4,0,6,6,1,0
balanced,crossing,5,1,2,1,1,0
balanced,crossing,6,1,1,0,0,0
balanced,crossing,7,2,8,6,1,0
balanced,crossing,8,3,1,-2,0,1
balanced,crossing,9,0,0,0,0,0
balanced,crossing,10,7,0,-7,0,1
balanced,crossing,11,5,8,3,1,0
balanced,crossing,12,2,6,4,1,0
balanced,crossing,13,0,0,0,0,0
balanced,crossing,14,2,12,10,1,0
balanced,crossing,15,7,0,-7,0,1
balanced,crossing,16,6,0,-6,0,1
balanced,crossing,17,0,1,1,1,0
balanced,crossing,18,2,6,4,1,0
balanced,crossing,19,7,1,-6,0,1
balanced,crossing,20,1,5,4,1,0
balanced,crossing,21,2,3,1,1,0
balanced,crossing,22,6,4,-2,0,1
balanced,crossing,23,5,6,1,1,0
balanced,crossing,24,0,0,0,0,0
balanced,crossing,25,0,0,0,0,0
balanced,crossing,26,2,8,6,1,0
balanced,crossing,27,12,0,-12,0,1
balanced,crossing,28,12,8,-4,0,1
balanced,crossing,29,0,2,2,1,0
balanced,crossing,30,0,3,3,1,0
balanced,crossing,31,2,4,2,1,0
balanced,crossing,32,11,0,-11,0,1
balanced,crossing,33,4,2,-2,0,1
balanced,crossing,34,0,1,1,1,0
balanced,crossing,35,0,12,12,1,0
balanced,crossing,36,3,0,-3,0,1
balanced,crossing,37,0,0,0,0,0
balanced,crossing,38,0,7,7,1,0
balanced,crossing,39,2,3,1,1,0
balanced,crossing,40,0,5,5,1,0
balanced,crossing,41,12,8,-4,0,1
balanced,crossing,42,3,2,-1,0,1
balanced,crossing,43,1,4,3,1,0
balanced,crossing,44,0,7,7,1,0
balanced,crossing,45,0,5,5,1,0
balanced,crossing,46,0,12,12,1,0
balanced,crossing,47,11,7,-4,0,1
balanced,crossing,48,4,0,-4,0,1
balanced,crossing,49,4,0,-4,0,1
balanced,crossing,50,3,5,2,1,0
balanced,crossing,51,6,3,-3,0,1
balanced,crossing,52,3,10,7,1,0
balanced,crossing,53,1,0,-1,0,1
balanced,crossing,54,0,9,9,1,0
balanced,crossing,55,1,4,3,1,0
balanced,crossing,56,2,4,2,1,0
balanced,crossing,57,3,12,9,1,0
balanced,crossing,58,0,0,0,0,0
balanced,crossing,59,3,6,3,1,0
balanced,crossing,60,10,5,-5,0,1
straight,parallel,1,3,0,-3,0,1
straight,parallel,2,12,0,-12,0,1
straight,parallel,3,5,0,-5,0,1
straight,parallel,4,8,0,-8,0,1
straight,parallel,5,2,0,-2,0,1
straight,parallel,6,10,0,-10,0,1
straight,parallel,7,5,0,-5,0,1
straight,parallel,8,7,0,-7,0,1
straight,parallel,9,0,0,0,0,0
straight,parallel,10,7,0,-7,0,1
straight,parallel,11,8,0,-8,0,1
straight,parallel,12,12,0,-12,0,1
straight,parallel,13,0,0,0,0,0
straight,parallel,14,5,0,-5,0,1
straight,parallel,15,3,0,-3,0,1
straight,parallel,16,3,0,-3,0,1
straight,parallel,17,6,0,-6,0,1
straight,parallel,18,5,0,-5,0,1
straight,parallel,19,8,0,-8,0,1
straight,parallel,20,6,0,-6,0,1
straight,parallel,21,2,0,-2,0,1
straight,parallel,22,8,0,-8,0,1
straight,parallel,23,7,0,-7,0,1
straight,parallel,24,5,0,-5,0,1
straight,parallel,25,2,0,-2,0,1
straight,parallel,26,4,0,-4,0,1
straight,parallel,27,12,0,-12,0,1
straight,parallel,28,7,0,-7,0,1
straight,parallel,29,4,0,-4,0,1
straight,parallel,30,7,0,-7,0,1
straight,parallel,31,5,0,-5,0,1
straight,parallel,32,7,0,-7,0,1
straight,parallel,33,3,0,-3,0,1
straight,parallel,34,12,0,-12,0,1
straight,parallel,35,4,0,-4,0,1
straight,parallel,36,11,0,-11,0,1
straight,parallel,37,12,0,-12,0,1
straight,parallel,38,2,0,-2,0,1
straight,parallel,39,11,0,-11,0,1
straight,parallel,40,12,0,-12,0,1
straight,parallel,41,2,0,-2,0,1
straight,parallel,42,2,0,-2,0,1
straight,parallel,43,12,1,-11,0,1
straight,parallel,44,1,0,-1,0,1
straight,parallel,45,10,0,-10,0,1
straight,parallel,46,12,0,-12,0,1
straight,parallel,47,10,0,-10,0,1
straight,parallel,48,4,0,-4,0,1
straight,parallel,49,5,0,-5,0,1
straight,parallel,50,5,0,-5,0,1
straight,parallel,51,12,0,-12,0,1
straight,parallel,52,9,0,-9,0,1
straight,parallel,53,6,0,-6,0,1
straight,parallel,54,7,0,-7,0,1
straight,parallel,55,8,0,-8,0,1
straight,parallel,56,12,0,-12,0,1
straight,parallel,57,12,0,-12,0,1
straight,parallel,58,3,0,-3,0,1
straight,parallel,59,3,0,-3,0,1
straight,parallel,60,12,0,-12,0,1
straight,head_on,1,1,0,-1,0,1
straight,head_on,2,7,0,-7,0,1
straight,head_on,3,0,0,0,0,0
straight,head_on,4,0,0,0,0,0
straight,head_on,5,2,0,-2,0,1
straight,head_on,6,4,0,-4,0,1
straight,head_on,7,4,0,-4,0,1
straight,head_on,8,2,0,-2,0,1
straight,head_on,9,0,0,0,0,0
straight,head_on,10,0,0,0,0,0
straight,head_on,11,6,0,-6,0,1
straight,head_on,12,4,0,-4,0,1
straight,head_on,13,2,0,-2,0,1
straight,head_on,14,9,0,-9,0,1
straight,head_on,15,2,0,-2,0,1
straight,head_on,16,3,0,-3,0,1
straight,head_on,17,4,0,-4,0,1
straight,head_on,18,3,0,-3,0,1
straight,head_on,19,1,0,-1,0,1
straight,head_on,20,3,0,-3,0,1
straight,head_on,21,2,0,-2,0,1
straight,head_on,22,4,0,-4,0,1
straight,head_on,23,5,0,-5,0,1
straight,head_on,24,2,0,-2,0,1
straight,head_on,25,0,0,0,0,0
straight,head_on,26,4,0,-4,0,1
straight,head_on,27,12,0,-12,0,1
straight,head_on,28,4,0,-4,0,1
straight,head_on,29,0,0,0,0,0
straight,head_on,30,7,0,-7,0,1
straight,head_on,31,12,0,-12,0,1
straight,head_on,32,11,0,-11,0,1
straight,head_on,33,7,0,-7,0,1
straight,head_on,34,3,0,-3,0,1
straight,head_on,35,5,0,-5,0,1
straight,head_on,36,4,0,-4,0,1
straight,head_on,37,12,0,-12,0,1
straight,head_on,38,2,0,-2,0,1
straight,head_on,39,5,0,-5,0,1
straight,head_on,40,12,0,-12,0,1
straight,head_on,41,8,0,-8,0,1
straight,head_on,42,0,0,0,0,0
straight,head_on,43,4,0,-4,0,1
straight,head_on,44,1,0,-1,0,1
straight,head_on,45,7,0,-7,0,1
straight,head_on,46,12,0,-12,0,1
straight,head_on,47,8,0,-8,0,1
straight,head_on,48,1,0,-1,0,1
straight,head_on,49,4,0,-4,0,1
straight,head_on,50,3,0,-3,0,1
straight,head_on,51,12,0,-12,0,1
straight,head_on,52,12,0,-12,0,1
straight,head_on,53,10,1,-9,0,1
straight,head_on,54,10,0,-10,0,1
straight,head_on,55,4,0,-4,0,1
straight,head_on,56,8,0,-8,0,1
straight,head_on,57,12,0,-12,0,1
straight,head_on,58,2,0,-2,0,1
straight,head_on,59,5,0,-5,0,1
straight,head_on,60,12,0,-12,0,1
straight,crossing,1,12,0,-12,0,1
straight,crossing,2,12,0,-12,0,1
straight,crossing,3,10,0,-10,0,1
straight,crossing,4,4,0,-4,0,1
straight,crossing,5,1,0,-1,0,1
straight,crossing,6,8,0,-8,0,1
straight,crossing,7,12,0,-12,0,1
straight,crossing,8,7,0,-7,0,1
straight,crossing,9,0,0,0,0,0
straight,crossing,10,3,0,-3,0,1
straight,crossing,11,7,0,-7,0,1
straight,crossing,12,4,0,-4,0,1
straight,crossing,13,1,0,-1,0,1
straight,crossing,14,10,0,-10,0,1
straight,crossing,15,8,0,-8,0,1
straight,crossing,16,3,0,-3,0,1
straight,crossing,17,7,0,-7,0,1
straight,crossing,18,6,0,-6,0,1
straight,crossing,19,12,3,-9,0,1
straight,crossing,20,3,0,-3,0,1
straight,crossing,21,5,0,-5,0,1
straight,crossing,22,9,0,-9,0,1
straight,crossing,23,5,0,-5,0,1
straight,crossing,24,4,0,-4,0,1
straight,crossing,25,8,0,-8,0,1
straight,crossing,26,12,0,-12,0,1
straight,crossing,27,12,0,-12,0,1
straight,crossing,28,8,0,-8,0,1
straight,crossing,29,5,0,-5,0,1
straight,crossing,30,8,0,-8,0,1
straight,crossing,31,2,0,-2,0,1
straight,crossing,32,9,0,-9,0,1
straight,crossing,33,9,0,-9,0,1
straight,crossing,34,0,0,0,0,0
straight,crossing,35,10,0,-10,0,1
straight,crossing,36,12,0,-12,0,1
straight,crossing,37,6,0,-6,0,1
straight,crossing,38,2,0,-2,0,1
straight,crossing,39,5,0,-5,0,1
straight,crossing,40,12,0,-12,0,1
straight,crossing,41,9,0,-9,0,1
straight,crossing,42,4,0,-4,0,1
