pair_id,scenario,turn,n_candidates,rho_abs_outcome,rho_norm_outcome,stake_outcome,rho_abs_damage,rho_norm_damage,stake_damage,value_divergence_outcome,value_divergence_damage,action_disagreement,confident_outcome,confident_damage
IBS-S-03_s6_t2_IBS-U-KM-KARL-GALSTER_1PP2P1S1S-1S1S4P,IBS-S-03,2,6,0.0,0.0,0.0,0.0,0.0,0.054901960784313725,0.0,0.04313725490196079,False,False,False
IBS-S-03_s6_t3_IBS-U-KM-KARL-GALSTER_2S2P-1SS1S3P,IBS-S-03,3,4,0.0,0.0,0.0,0.016666666666666666,0.10294117647058824,0.16190476190476188,0.0,0.16428571428571428,False,False,False
IBS-S-03_s6_t3_IBS-U-KM-HANS-LODY_2S1S-6P,IBS-S-03,3,4,0.0,0.0,0.0,0.0,0.0,0.16190476190476188,0.0,0.09523809523809523,False,False,True
IBS-S-03_s7_t2_IBS-U-KM-HANS-LODY_1SS2S2-0,IBS-S-03,2,6,0.39999999999999997,0.7500000000000001,0.5333333333333332,0.023931623931623933,0.7,0.03418803418803419,0.7999999999999999,0.03418803418803419,True,False,False
IBS-S-03_s7_t2_IBS-U-KM-KARL-GALSTER_1S3S1-0,IBS-S-03,2,6,0.0,0.0,0.5333333333333332,0.0,0.0,0.03418803418803419,0.5333333333333332,0.034188034188034185,False,False,False
IBS-S-03_s7_t2_IBS-U-KM-RICHARD-BEITZEN_1S1S1S1S-0,IBS-S-03,2,6,0.0,0.0,0.5333333333333332,0.015384615384615389,0.45000000000000007,0.03418803418803419,0.5333333333333332,0.05128205128205129,False,False,False
IBS-S-03_s7_t4_IBS-U-KM-KARL-GALSTER_3S-0,IBS-S-03,4,3,0.0,0.0,0.8,0.0,0.0,0.02,1.3333333333333333,0.017777777777777778,False,True,False
IBS-S-03_s7_t4_IBS-U-KM-RICHARD-BEITZEN_1PP1P-1P1P4P,IBS-S-03,4,3,0.0,0.0,0.8,0.0,0.0,0.017777777777777778,0.0,0.0,False,True,False
IBS-S-03_s7_t4_IBS-U-KM-HANS-LODY_1PP1P1S-0,IBS-S-03,4,3,0.0,0.0,0.8,0.0,0.0,0.017777777777777778,0.26666666666666666,0.015555555555555555,False,True,False
IBS-S-03_s8_t2_IBS-U-KM-HANS-LODY_2P2S1S-0,IBS-S-03,2,3,0.0,0.0,0.39999999999999997,0.0,0.0,0.03148148148148148,1.3333333333333333,0.04814814814814815,True,False,False
IBS-S-03_s8_t2_IBS-U-KM-KARL-GALSTER_1S4P1P-0,IBS-S-03,2,3,0.0,0.0,0.2666666666666666,0.0,0.0,0.06481481481481481,0.2666666666666666,0.05555555555555556,True,False,False
IBS-S-03_s8_t2_IBS-U-KM-RICHARD-BEITZEN_1P1P-2P4P,IBS-S-03,2,3,0.0,0.0,0.2666666666666666,0.0,0.0,0.03148148148148148,0.0,0.02037037037037037,False,False,False
IBS-S-03_s8_t3_IBS-U-KM-KARL-GALSTER_1SS1S1S1-1P1P4P,IBS-S-03,3,6,0.0,0.0,0.2666666666666667,0.003809523809523808,0.4999999999999998,0.007619047619047619,0.2666666666666667,0.02095238095238095,False,False,False
IBS-S-03_s8_t3_IBS-U-KM-HANS-LODY_2S1S-0,IBS-S-03,3,6,0.0,0.0,0.0,0.0,0.0,0.007619047619047619,0.0,0.0019047619047619056,False,False,False
IBS-S-03_s8_t3_IBS-U-KM-RICHARD-BEITZEN_1P1S-0,IBS-S-03,3,6,0.0,0.0,0.0,0.0038095238095238113,0.22222222222222235,0.01714285714285714,0.0,0.019047619047619046,False,False,False
IBS-S-03_s9_t2_IBS-U-KM-HANS-LODY_1S3S2P-0,IBS-S-03,2,3,0.0,0.0,1.0666666666666667,0.0,0.0,0.05238095238095238,0.8,0.053968253968253964,True,False,False
IBS-S-03_s9_t2_IBS-U-KM-KARL-GALSTER_1P5S-0,IBS-S-03,2,3,0.0,0.0,1.0666666666666667,0.0,0.0,0.05238095238095238,0.2666666666666666,0.025396825396825404,False,True,False
IBS-S-03_s9_t2_IBS-U-KM-RICHARD-BEITZEN_1S2S3P-0,IBS-S-03,2,3,0.0,0.0,1.0666666666666667,0.0,0.0,0.05238095238095238,0.39999999999999997,0.04920634920634921,False,True,True
IBS-S-03_s9_t4_IBS-U-KM-RICHARD-BEITZEN_3S2P-1SS1S3P,IBS-S-03,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,False,False,False
IBS-S-03_s9_t4_IBS-U-KM-KARL-GALSTER_1P3-4P2S,IBS-S-03,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
IBS-S-03_s10_t2_IBS-U-KM-RICHARD-BEITZEN_1SS1S2S-0,IBS-S-03,2,4,0.0,0.0,1.7333333333333334,0.0,0.0,0.14705882352941177,0.13333333333333341,0.04901960784313726,False,True,True
IBS-S-03_s10_t2_IBS-U-KM-KARL-GALSTER_1PP1P1-1S1S4P,IBS-S-03,2,4,0.0,0.0,1.7333333333333334,0.0,0.0,0.14705882352941177,0.6666666666666666,0.01960784313725491,False,True,True
IBS-S-03_s10_t3_IBS-U-KM-KARL-GALSTER_1SS1S-0,IBS-S-03,3,4,0.0,0.0,0.0,0.0,0.0,0.006896551724137931,0.0,0.034482758620689655,False,False,False
IBS-S-03_s10_t3_IBS-U-KM-RICHARD-BEITZEN_1P1P3P-0,IBS-S-03,3,4,0.0,0.0,0.0,0.0,0.0,0.02528735632183908,0.0,0.06436781609195402,False,False,False
IBS-S-03_s10_t4_IBS-U-KM-RICHARD-BEITZEN_1PP2P1S1S-0,IBS-S-03,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03809523809523809,False,False,False
