match_id,scenario,seed,turn,side,ship_id,ship_type,hull_frac,speed,avg_enemy_dist,min_enemy_dist,p_attack,p_reply,lfr,herfindahl,attacker_count,lambda2_own,force_ratio,n_alive_own,n_alive_enemy,axis_profile,allies_profile,damage_next,damaged,crosscheck_matched,crosscheck_total
IBS-S-03-001,IBS-S-03,20855610,3,allies,IBS-U-RN-JACKAL,DD,1.0,4.0,14.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.782608695652174,5.0,3.0,line,brawl,0,0,0,0
IBS-S-03-001,IBS-S-03,20855610,3,allies,IBS-U-RN-JUPITER,DD,1.0,5.0,20.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,0.782608695652174,5.0,3.0,line,brawl,0,0,0,0
IBS-S-03-001,IBS-S-03,20855610,4,axis,IBS-U-KM-KARL-GALSTER,DD,1.0,5.0,23.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,1.2777777777777777,3.0,5.0,line,brawl,0,0,0,0
IBS-S-03-001,IBS-S-03,20855610,4,axis,IBS-U-KM-RICHARD-BEITZEN,DD,1.0,5.0,15.4,6.0,0.0,0.0,1.0,0.0,0.0,0.0,1.2777777777777777,3.0,5.0,line,brawl,0,0,0,0
IBS-S-03-001,IBS-S-03,20855610,4,axis,IBS-U-KM-HANS-LODY,DD,1.0,5.0,19.4,14.0,0.0,0.0,1.0,0.0,0.0,0.0,1.2777777777777777,3.0,5.0,line,brawl,0,0,0,0
IBS-S-03-001,IBS-S-03,20855610,4,allies,IBS-U-RN-JAVELIN,DD,1.0,5.0,12.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.782608695652174,5.0,3.0,line,brawl,0,0,0,0
IBS-S-03-001,IBS-S-03,20855610,4,allies,IBS-U-RN-KASHMIR,DD,1.0,6.0,25.333333333333332,22.0,0.0,0.0,1.0,0.0,0.0,0.0,0.782608695652174,5.0,3.0,line,brawl,0,0,0,0
IBS-S-03-001,IBS-S-03,20855610,4,allies,IBS-U-RN-JERSEY,DD,0.6,3.0,21.333333333333332,18.0,0.0,0.0,1.0,0.0,0.0,0.0,0.782608695652174,5.0,3.0,line,brawl,0,0,0,0
IBS-S-03-001,IBS-S-03,20855610,4,allies,IBS-U-RN-JACKAL,DD,1.0,4.0,16.333333333333332,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.782608695652174,5.0,3.0,line,brawl,0,0,0,0
IBS-S-03-001,IBS-S-03,20855610,4,allies,IBS-U-RN-JUPITER,DD,1.0,5.0,21.333333333333332,18.0,0.0,0.0,1.0,0.0,0.0,0.0,0.782608695652174,5.0,3.0,line,brawl,0,0,0,0
IBS-S-03-000,IBS-S-03,20560918,1,axis,IBS-U-KM-KARL-GALSTER,DD,1.0,2.0,7.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,1.3888888888888888,3.0,5.0,balanced,balanced,0,0,0,0
IBS-S-03-000,IBS-S-03,20560918,1,axis,IBS-U-KM-RICHARD-BEITZEN,DD,1.0,4.0,8.8,7.0,0.0,0.0,1.0,0.0,0.0,0.0,1.3888888888888888,3.0,5.0,balanced,balanced,0,0,0,0
IBS-S-03-000,IBS-S-03,20560918,1,axis,IBS-U-KM-HANS-LODY,DD,1.0,5.0,8.4,6.0,0.0,0.0,1.0,0.0,0.0,0.0,1.3888888888888888,3.0,5.0,balanced,balanced,0,0,0,0
IBS-S-03-000,IBS-S-03,20560918,1,allies,IBS-U-RN-JAVELIN,DD,1.0,6.0,6.333333333333333,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.72,5.0,3.0,balanced,balanced,0,0,0,0
IBS-S-03-000,IBS-S-03,20560918,1,allies,IBS-U-RN-KASHMIR,DD,1.0,5.0,8.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.72,5.0,3.0,balanced,balanced,0,0,0,0
IBS-S-03-000,IBS-S-03,20560918,1,allies,IBS-U-RN-JERSEY,DD,1.0,3.0,6.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.72,5.0,3.0,balanced,balanced,0,0,0,0
IBS-S-03-000,IBS-S-03,20560918,1,allies,IBS-U-RN-JACKAL,DD,1.0,6.0,8.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.72,5.0,3.0,balanced,balanced,0,0,0,0
IBS-S-03-000,IBS-S-03,20560918,1,allies,IBS-U-RN-JUPITER,DD,1.0,6.0,12.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.72,5.0,3.0,balanced,balanced,0,0,0,0
IBS-S-03-000,IBS-S-03,20560918,2,axis,IBS-U-KM-KARL-GALSTER,DD,1.0,3.0,8.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,1.3888888888888888,3.0,5.0,balanced,balanced,0,0,0,0
IBS-S-03-000,IBS-S-03,20560918,2,axis,IBS-U-KM-RICHARD-BEITZEN,DD,1.0,6.0,11.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,1.3888888888888888,3.0,5.0,balanced,balanced,0,0,0,0
IBS-S-03-000,IBS-S-03,20560918,2,axis,IBS-U-KM-HANS-LODY,DD,1.0,6.0,13.4,9.0,0.0,0.0,1.0,0.0,0.0,0.0,1.3888888888888888,3.0,5.0,balanced,balanced,0,0,0,0
