eta_v,eta_omega,geometry,worst_peak,worst_share,reachable,viable,worst_R_plan
0.85,1.3,head_on,0.0,0.0,0,0,straight
0.9,1.3,head_on,0.0,0.0,0,0,straight
0.95,1.3,head_on,0.0,0.0,0,0,straight
1.0,1.3,head_on,0.0,0.0,0,0,turn+30
1.05,1.3,head_on,0.0,0.0,0,0,turn+30
1.1,1.3,head_on,0.0,0.0,0,0,turn+30
1.15,1.3,head_on,0.0,0.0,0,0,turn+30
1.2,1.3,head_on,0.0,0.0,0,0,straight
1.25,1.3,head_on,0.0,0.0,0,0,straight
1.3,1.3,head_on,0.0,0.0,0,0,straight
1.35,1.3,head_on,0.0,0.0,0,0,straight
1.4,1.3,head_on,0.0,0.0,0,0,straight
1.45,1.3,head_on,0.0,0.0,0,0,straight
1.5,1.3,head_on,0.0,0.0,0,0,straight
0.75,1.3,parallel,0.0,0.0,0,0,turn-120
0.8,1.3,parallel,0.0,0.0,0,0,turn-60
0.85,1.3,parallel,0.0,0.0,0,0,turn-60
0.9,1.3,parallel,0.0,0.0,0,0,turn-60
0.95,1.3,parallel,0.0,0.0,0,0,turn-60
1.0,1.3,parallel,0.0,0.0,0,0,turn-90
1.05,1.3,parallel,0.0,0.0,0,0,turn-60
1.1,1.3,parallel,0.0,0.0,0,0,turn-60
1.15,1.3,parallel,0.1988,0.0,0,0,turn-120
1.2,1.3,parallel,0.0,0.0,0,0,turn-90
1.25,1.3,parallel,0.0,0.0,0,0,turn-30
1.3,1.3,parallel,0.0,0.0,0,0,turn+180
1.35,1.3,parallel,0.0,0.0,0,0,turn+180
1.4,1.3,parallel,0.0,0.0,0,0,turn+180
1.45,1.3,parallel,0.0,0.0,0,0,turn+180
1.5,1.3,parallel,0.0,0.0,0,0,turn+180
0.75,1.3,crossing,0.0,0.0,0,0,turn+90
0.8,1.3,crossing,0.0,0.0,0,0,turn+90
0.85,1.3,crossing,0.0,0.0,0,0,turn+90
0.9,1.3,crossing,0.0,0.0,0,0,turn+90
0.95,1.3,crossing,0.0,0.0,0,0,turn+90
1.0,1.3,crossing,0.0,0.0,0,0,turn+90
1.05,1.3,crossing,0.0,0.0,0,0,turn+90
1.1,1.3,crossing,0.0,0.0,0,0,turn+90
1.15,1.3,crossing,0.0,0.0,0,0,turn+90
1.2,1.3,crossing,0.0,0.0,0,0,turn+90
1.25,1.3,crossing,0.0,0.0,0,0,turn+90
1.3,1.3,crossing,0.0,0.0,0,0,turn+90
1.35,1.3,crossing,0.0,0.0,0,0,straight
1.4,1.3,crossing,0.0,0.0,0,0,straight
1.45,1.3,crossing,0.0,0.0,0,0,straight
1.5,1.3,crossing,0.0,0.0,0,0,straight
