eta_v,eta_omega,geometry,R_plan,peak_ratio,share_ratio
1.2,0.7,head_on,turn-180,0.9955,0.025
1.25,0.7,head_on,straight,0.0,0.0
1.25,0.7,head_on,turn+30,0.0,0.0
1.25,0.7,head_on,turn+60,0.9542,0.025
1.25,0.7,head_on,turn+90,0.9591,0.025
1.25,0.7,head_on,turn+120,0.9675,0.025
1.25,0.7,head_on,turn+180,1.0,0.025
1.25,0.7,head_on,turn-30,0.0,0.0
1.25,0.7,head_on,turn-60,0.9542,0.025
1.25,0.7,head_on,turn-90,0.9591,0.025
1.25,0.7,head_on,turn-120,0.9675,0.025
1.25,0.7,head_on,turn-180,1.0,0.025
1.3,0.7,head_on,straight,0.0,0.0
1.3,0.7,head_on,turn+30,0.0,0.0
1.3,0.7,head_on,turn+60,0.9067,0.025
1.3,0.7,head_on,turn+90,0.9207,0.025
1.3,0.7,head_on,turn+120,0.9405,0.025
1.3,0.7,head_on,turn+180,1.0,0.025
1.3,0.7,head_on,turn-30,0.0,0.0
1.3,0.7,head_on,turn-60,0.9067,0.025
1.3,0.7,head_on,turn-90,0.9207,0.025
1.3,0.7,head_on,turn-120,0.9405,0.025
1.3,0.7,head_on,turn-180,1.0,0.025
1.35,0.7,head_on,straight,0.0,0.0
1.35,0.7,head_on,turn+30,0.0,0.0
1.35,0.7,head_on,turn+60,0.0,0.0
1.35,0.7,head_on,turn+90,0.9663,0.025
1.35,0.7,head_on,turn+120,1.0,0.025
1.35,0.7,head_on,turn+180,0.0,0.0
1.35,0.7,head_on,turn-30,0.0,0.0
1.35,0.7,head_on,turn-60,0.0,0.0
1.35,0.7,head_on,turn-90,0.9663,0.025
1.35,0.7,head_on,turn-120,1.0,0.025
1.35,0.7,head_on,turn-180,0.0,0.0
1.4,0.7,head_on,straight,0.0,0.0
1.4,0.7,head_on,turn+30,0.0,0.0
1.4,0.7,head_on,turn+60,0.0,0.0
1.4,0.7,head_on,turn+90,0.1928,0.0
1.4,0.7,head_on,turn+120,0.1885,0.0
1.4,0.7,head_on,turn+180,0.1906,0.0
1.4,0.7,head_on,turn-30,0.6837,0.025
1.4,0.7,head_on,turn-60,0.0,0.0
1.4,0.7,head_on,turn-90,0.0,0.0
1.4,0.7,head_on,turn-120,0.0,0.0
1.4,0.7,head_on,turn-180,1.0,0.025
1.45,0.7,head_on,straight,0.0,0.0
1.45,0.7,head_on,turn+30,0.0,0.0
1.45,0.7,head_on,turn+60,0.0,0.0
1.45,0.7,head_on,turn+90,0.0,0.0
1.45,0.7,head_on,turn+120,0.0,0.0
1.45,0.7,head_on,turn+180,0.0,0.0
1.45,0.7,head_on,turn-30,0.0,0.0
1.45,0.7,head_on,turn-60,0.9486,0.025
1.45,0.7,head_on,turn-90,1.0,0.025
1.45,0.7,head_on,turn-120,0.9709,0.05
1.45,0.7,head_on,turn-180,0.0,0.0
1.5,0.7,head_on,straight,0.0,0.0
1.5,0.7,head_on,turn+30,0.0,0.0
1.5,0.7,head_on,turn+60,0.0,0.0
1.5,0.7,head_on,turn+90,0.0,0.0
1.5,0.7,head_on,turn+120,0.0,0.0
1.5,0.7,head_on,turn+180,0.0,0.0
1.5,0.7,head_on,turn-30,0.0,0.0
1.5,0.7,head_on,turn-60,0.9377,0.025
1.5,0.7,head_on,turn-90,1.0,0.025
1.5,0.7,head_on,turn-120,0.9829,0.05
1.5,0.7,head_on,turn-180,0.0,0.0
0.75,0.7,parallel,straight,0.2846,0.0
