eta_v,eta_omega,geometry,R_plan,peak_ratio,share_ratio
0.8,1.0,head_on,turn+180,0.4595,0.0
0.8,1.0,head_on,turn-30,1.0,0.025
0.8,1.0,head_on,turn-60,0.9583,0.025
0.8,1.0,head_on,turn-90,0.9028,0.025
0.8,1.0,head_on,turn-120,0.6282,0.025
0.8,1.0,head_on,turn-180,0.4595,0.0
0.85,1.0,head_on,straight,0.0,0.0
0.85,1.0,head_on,turn+30,0.0,0.0
0.85,1.0,head_on,turn+60,1.0,0.025
0.85,1.0,head_on,turn+90,0.9502,0.025
0.85,1.0,head_on,turn+120,0.675,0.025
0.85,1.0,head_on,turn+180,0.502,0.025
0.85,1.0,head_on,turn-30,0.0,0.0
0.85,1.0,head_on,turn-60,1.0,0.025
0.85,1.0,head_on,turn-90,0.9502,0.025
0.85,1.0,head_on,turn-120,0.675,0.025
0.85,1.0,head_on,turn-180,0.502,0.025
0.9,1.0,head_on,straight,0.0,0.0
0.9,1.0,head_on,turn+30,0.0,0.0
0.9,1.0,head_on,turn+60,1.0,0.025
0.9,1.0,head_on,turn+90,0.958,0.025
0.9,1.0,head_on,turn+120,0.6834,0.025
0.9,1.0,head_on,turn+180,0.5246,0.025
0.9,1.0,head_on,turn-30,0.0,0.0
0.9,1.0,head_on,turn-60,1.0,0.025
0.9,1.0,head_on,turn-90,0.958,0.025
0.9,1.0,head_on,turn-120,0.6834,0.025
0.9,1.0,head_on,turn-180,0.5246,0.025
0.95,1.0,head_on,straight,0.0,0.0
0.95,1.0,head_on,turn+30,0.0,0.0
0.95,1.0,head_on,turn+60,1.0,0.025
0.95,1.0,head_on,turn+90,0.9654,0.025
0.95,1.0,head_on,turn+120,0.6802,0.025
0.95,1.0,head_on,turn+180,0.5473,0.025
0.95,1.0,head_on,turn-30,0.0,0.0
0.95,1.0,head_on,turn-60,1.0,0.025
0.95,1.0,head_on,turn-90,0.9654,0.025
0.95,1.0,head_on,turn-120,0.6802,0.025
0.95,1.0,head_on,turn-180,0.5473,0.025
1.0,1.0,head_on,straight,0.0,0.0
1.0,1.0,head_on,turn+30,0.0,0.0
1.0,1.0,head_on,turn+60,1.0,0.025
1.0,1.0,head_on,turn+90,0.9086,0.025
1.0,1.0,head_on,turn+120,0.6645,0.025
1.0,1.0,head_on,turn+180,0.5698,0.025
1.0,1.0,head_on,turn-30,0.0,0.0
1.0,1.0,head_on,turn-60,1.0,0.025
1.0,1.0,head_on,turn-90,0.9086,0.025
1.0,1.0,head_on,turn-120,0.6645,0.025
1.0,1.0,head_on,turn-180,0.5698,0.025
1.05,1.0,head_on,straight,0.0,0.0
1.05,1.0,head_on,turn+30,0.0,0.0
1.05,1.0,head_on,turn+60,1.0,0.025
1.05,1.0,head_on,turn+90,0.8326,0.025
1.05,1.0,head_on,turn+120,0.6489,0.025
1.05,1.0,head_on,turn+180,0.5987,0.025
1.05,1.0,head_on,turn-30,0.0,0.0
1.05,1.0,head_on,turn-60,1.0,0.025
1.05,1.0,head_on,turn-90,0.8326,0.025
1.05,1.0,head_on,turn-120,0.6489,0.025
1.05,1.0,head_on,turn-180,0.5987,0.025
1.1,1.0,head_on,straight,0.0,0.0
1.1,1.0,head_on,turn+30,0.0,0.0
1.1,1.0,head_on,turn+60,1.0,0.025
1.1,1.0,head_on,turn+90,0.8622,0.025
1.1,1.0,head_on,turn+120,0.7696,0.025
1.1,1.0,head_on,turn+180,0.7304,0.025
1.1,1.0,head_on,turn-30,0.0,0.0
1.1,1.0,head_on,turn-60,1.0,0.025
1.1,1.0,head_on,turn-90,0.8622,0.025
1.1,1.0,head_on,turn-120,0.7696,0.025
1.1,1.0,head_on,turn-180,0.7304,0.025
1.15,1.0,head_on,straight,0.0,0.0
1.15,1.0,head_on,turn+30,0.0,0.0
1.15,1.0,head_on,turn+60,1.0,0.025
1.15,1.0,head_on,turn+90,0.9724,0.025
1.15,1.0,head_on,turn+120,0.9559,0.025
1.15,1.0,head_on,turn+180,0.9335,0.025
1.15,1.0,head_on,turn-30,0.0,0.0
1.15,1.0,head_on,turn-60,1.0,0.025
1.15,1.0,head_on,turn-90,0.9724,0.025
1.15,1.0,head_on,turn-120,0.9559,0.025
1.15,1.0,head_on,turn-180,0.9335,0.025
1.2,1.0,head_on,straight,0.0,0.0
1.2,1.0,head_on,turn+30,0.0,0.0
1.2,1.0,head_on,turn+60,1.0,0.025
1.2,1.0,head_on,turn+90,0.9949,0.025
1.2,1.0,head_on,turn+120,0.9908,0.025
1.2,1.0,head_on,turn+180,0.9955,0.025
1.2,1.0,head_on,turn-30,0.0,0.0
1.2,1.0,head_on,turn-60,1.0,0.025
1.2,1.0,head_on,turn-90,0.9949,0.025
1.2,1.0,head_on,turn-120,0.9908,0.025
1.2,1.0,head_on,turn-180,0.9955,0.025
1.25,1.0,head_on,straight,0.0,0.0
1.25,1.0,head_on,turn+30,0.0,0.0
1.25,1.0,head_on,turn+60,0.0,0.0
1.25,1.0,head_on,turn+90,0.2236,0.0
1.25,1.0,head_on,turn+120,0.2236,0.0
1.25,1.0,head_on,turn+180,0.0,0.0
1.25,1.0,head_on,turn-30,0.715,0.025
1.25,1.0,head_on,turn-60,0.9944,0.025
1.25,1.0,head_on,turn-90,1.0,0.025
1.25,1.0,head_on,turn-120,0.9867,0.025
1.25,1.0,head_on,turn-180,0.0,0.0
1.3,1.0,head_on,straight,0.0,0.0
1.3,1.0,head_on,turn+30,0.0,0.0
1.3,1.0,head_on,turn+60,0.0,0.0
1.3,1.0,head_on,turn+90,0.2234,0.0
1.3,1.0,head_on,turn+120,0.2234,0.0
1.3,1.0,head_on,turn+180,0.0,0.0
1.3,1.0,head_on,turn-30,0.5834,0.025
1.3,1.0,head_on,turn-60,0.9921,0.025
1.3,1.0,head_on,turn-90,1.0,0.025
1.3,1.0,head_on,turn-120,0.989,0.025
1.3,1.0,head_on,turn-180,0.0,0.0
1.35,1.0,head_on,straight,0.0,0.0
1.35,1.0,head_on,turn+30,0.0,0.0
1.35,1.0,head_on,turn+60,0.0,0.0
1.35,1.0,head_on,turn+90,0.2234,0.0
1.35,1.0,head_on,turn+120,0.2234,0.0
1.35,1.0,head_on,turn+180,0.0,0.0
1.35,1.0,head_on,turn-30,0.5432,0.025
1.35,1.0,head_on,turn-60,0.9898,0.025
1.35,1.0,head_on,turn-90,1.0,0.025
1.35,1.0,head_on,turn-120,0.9913,0.025
1.35,1.0,head_on,turn-180,0.0,0.0
1.4,1.0,head_on,straight,0.0,0.0
1.4,1.0,head_on,turn+30,0.0,0.0
1.4,1.0,head_on,turn+60,0.0,0.0
1.4,1.0,head_on,turn+90,0.2235,0.0
1.4,1.0,head_on,turn+120,0.2235,0.0
1.4,1.0,head_on,turn+180,0.0,0.0
1.4,1.0,head_on,turn-30,0.5032,0.025
1.4,1.0,head_on,turn-60,0.9875,0.025
1.4,1.0,head_on,turn-90,1.0,0.025
1.4,1.0,head_on,turn-120,0.9936,0.025
1.4,1.0,head_on,turn-180,0.0,0.0
1.45,1.0,head_on,straight,0.0,0.0
1.45,1.0,head_on,turn+30,0.0,0.0
1.45,1.0,head_on,turn+60,0.0,0.0
1.45,1.0,head_on,turn+90,0.2238,0.0
1.45,1.0,head_on,turn+120,0.2238,0.0
1.45,1.0,head_on,turn+180,0.0,0.0
1.45,1.0,head_on,turn-30,0.4635,0.0
1.45,1.0,head_on,turn-60,0.9852,0.025
1.45,1.0,head_on,turn-90,1.0,0.025
1.45,1.0,head_on,turn-120,0.996,0.025
1.45,1.0,head_on,turn-180,0.0,0.0
1.5,1.0,head_on,straight,0.0,0.0
1.5,1.0,head_on,turn+30,0.0,0.0
1.5,1.0,head_on,turn+60,0.0,0.0
1.5,1.0,head_on,turn+90,0.2242,0.0
1.5,1.0,head_on,turn+120,0.2242,0.0
1.5,1.0,head_on,turn+180,0.0,0.0
1.5,1.0,head_on,turn-30,0.4237,0.0
1.5,1.0,head_on,turn-60,0.9829,0.025
1.5,1.0,head_on,turn-90,1.0,0.025
1.5,1.0,head_on,turn-120,0.9983,0.025
1.5,1.0,head_on,turn-180,0.0,0.0
0.75,1.0,parallel,straight,0.3443,0.0
0.75,1.0,parallel,turn+30,0.1171,0.0
0.75,1.0,parallel,turn+60,0.0992,0.0
0.75,1.0,parallel,turn+90,0.153,0.0
0.75,1.0,parallel,turn+120,0.1171,0.0
0.75,1.0,parallel,turn+180,0.1171,0.0
0.75,1.0,parallel,turn-30,0.391,0.0
0.75,1.0,parallel,turn-60,1.0,0.025
0.75,1.0,parallel,turn-90,0.0,0.0
0.75,1.0,parallel,turn-120,0.0,0.0
0.75,1.0,parallel,turn-180,0.4281,0.0
0.8,1.0,parallel,straight,0.3804,0.0
0.8,1.0,parallel,turn+30,0.1573,0.0
0.8,1.0,parallel,turn+60,0.1005,0.0
0.8,1.0,parallel,turn+90,0.1561,0.0
0.8,1.0,parallel,turn+120,0.117,0.0
0.8,1.0,parallel,turn+180,0.117,0.0
0.8,1.0,parallel,turn-30,0.4003,0.0
0.8,1.0,parallel,turn-60,1.0,0.025
0.8,1.0,parallel,turn-90,0.0,0.0
0.8,1.0,parallel,turn-120,0.0,0.0
0.8,1.0,parallel,turn-180,0.4383,0.0
0.85,1.0,parallel,straight,0.4132,0.0
0.85,1.0,parallel,turn+30,0.1751,0.0
0.85,1.0,parallel,turn+60,0.1012,0.0
0.85,1.0,parallel,turn+90,0.1168,0.0
0.85,1.0,parallel,turn+120,0.1172,0.0
0.85,1.0,parallel,turn+180,0.1162,0.0
0.85,1.0,parallel,turn-30,0.4031,0.0
0.85,1.0,parallel,turn-60,1.0,0.025
0.85,1.0,parallel,turn-90,0.6515,0.025
0.85,1.0,parallel,turn-120,0.0,0.0
0.85,1.0,parallel,turn-180,0.4442,0.0
0.9,1.0,parallel,straight,0.5549,0.025
0.9,1.0,parallel,turn+30,0.2844,0.0
0.9,1.0,parallel,turn+60,0.1028,0.0
0.9,1.0,parallel,turn+90,0.1301,0.0
0.9,1.0,parallel,turn+120,0.1238,0.0
0.9,1.0,parallel,turn+180,0.1168,0.0
0.9,1.0,parallel,turn-30,1.0,0.025
0.9,1.0,parallel,turn-60,0.9413,0.025
0.9,1.0,parallel,turn-90,0.6588,0.025
0.9,1.0,parallel,turn-120,0.0,0.0
0.9,1.0,parallel,turn-180,0.4534,0.0
0.95,1.0,parallel,straight,0.6998,0.025
0.95,1.0,parallel,turn+30,0.3452,0.0
0.95,1.0,parallel,turn+60,0.1065,0.0
0.95,1.0,parallel,turn+90,0.1473,0.0
0.95,1.0,parallel,turn+120,0.1325,0.0
0.95,1.0,parallel,turn+180,0.1196,0.0
0.95,1.0,parallel,turn-30,1.0,0.025
0.95,1.0,parallel,turn-60,0.8585,0.025
0.95,1.0,parallel,turn-90,0.6751,0.025
0.95,1.0,parallel,turn-120,0.0,0.0
0.95,1.0,parallel,turn-180,0.47,0.0
1.0,1.0,parallel,straight,0.0,0.0
1.0,1.0,parallel,turn+30,0.0,0.0
1.0,1.0,parallel,turn+60,0.0,0.0
1.0,1.0,parallel,turn+90,0.4231,0.0
1.0,1.0,parallel,turn+120,0.4231,0.0
1.0,1.0,parallel,turn+180,0.4231,0.0
1.0,1.0,parallel,turn-30,0.0,0.0
1.0,1.0,parallel,turn-60,0.9358,0.025
1.0,1.0,parallel,turn-90,0.9533,0.025
1.0,1.0,parallel,turn-120,1.0,0.025
1.0,1.0,parallel,turn-180,0.8496,0.025
1.05,1.0,parallel,straight,0.0,0.0
1.05,1.0,parallel,turn+30,0.0,0.0
1.05,1.0,parallel,turn+60,0.0,0.0
1.05,1.0,parallel,turn+90,0.4493,0.0
1.05,1.0,parallel,turn+120,0.4493,0.0
1.05,1.0,parallel,turn+180,0.4493,0.0
1.05,1.0,parallel,turn-30,0.0,0.0
1.05,1.0,parallel,turn-60,0.9155,0.025
1.05,1.0,parallel,turn-90,0.9669,0.025
1.05,1.0,parallel,turn-120,1.0,0.025
1.05,1.0,parallel,turn-180,0.885,0.025
1.1,1.0,parallel,straight,0.0,0.0
1.1,1.0,parallel,turn+30,0.0,0.0
1.1,1.0,parallel,turn+60,0.0,0.0
1.1,1.0,parallel,turn+90,0.4798,0.0
1.1,1.0,parallel,turn+120,0.4798,0.0
1.1,1.0,parallel,turn+180,0.4798,0.0
1.1,1.0,parallel,turn-30,0.0,0.0
1.1,1.0,parallel,turn-60,0.8886,0.025
1.1,1.0,parallel,turn-90,0.9809,0.025
1.1,1.0,parallel,turn-120,1.0,0.025
1.1,1.0,parallel,turn-180,0.9258,0.025
1.15,1.0,parallel,straight,0.0,0.0
1.15,1.0,parallel,turn+30,0.0,0.0
1.15,1.0,parallel,turn+60,0.0,0.0
1.15,1.0,parallel,turn+90,0.5157,0.525
1.15,1.0,parallel,turn+120,0.5157,0.075
1.15,1.0,parallel,turn+180,0.5157,0.025
1.15,1.0,parallel,turn-30,0.0,0.0
1.15,1.0,parallel,turn-60,0.8544,0.025
1.15,1.0,parallel,turn-90,0.9959,0.025
1.15,1.0,parallel,turn-120,1.0,0.025
1.15,1.0,parallel,turn-180,0.9735,0.025
1.2,1.0,parallel,straight,0.0,0.0
1.2,1.0,parallel,turn+30,0.0,0.0
1.2,1.0,parallel,turn+60,0.0,0.0
1.2,1.0,parallel,turn+90,0.5422,0.375
1.2,1.0,parallel,turn+120,0.5422,0.075
1.2,1.0,parallel,turn+180,0.5422,0.025
1.2,1.0,parallel,turn-30,0.0,0.0
1.2,1.0,parallel,turn-60,0.8056,0.025
1.2,1.0,parallel,turn-90,0.9829,0.025
1.2,1.0,parallel,turn-120,0.9712,0.025
1.2,1.0,parallel,turn-180,1.0,0.025
1.25,1.0,parallel,straight,0.0,0.0
1.25,1.0,parallel,turn+30,0.0,0.0
1.25,1.0,parallel,turn+60,0.0,0.0
1.25,1.0,parallel,turn+90,0.5558,0.275
1.25,1.0,parallel,turn+120,0.5558,0.05
1.25,1.0,parallel,turn+180,0.5558,0.025
1.25,1.0,parallel,turn-30,0.0,0.0
1.25,1.0,parallel,turn-60,0.0,0.0
1.25,1.0,parallel,turn-90,0.9388,0.025
1.25,1.0,parallel,turn-120,0.0,0.0
1.25,1.0,parallel,turn-180,1.0,0.025
1.3,1.0,parallel,straight,0.0,0.0
1.3,1.0,parallel,turn+30,0.0,0.0
1.3,1.0,parallel,turn+60,0.0,0.0
1.3,1.0,parallel,turn+90,0.5707,0.225
1.3,1.0,parallel,turn+120,0.5707,0.05
1.3,1.0,parallel,turn+180,0.5707,0.025
1.3,1.0,parallel,turn-30,0.0,0.0
1.3,1.0,parallel,turn-60,0.0,0.0
1.3,1.0,parallel,turn-90,0.8982,0.025
1.3,1.0,parallel,turn-120,0.0,0.0
1.3,1.0,parallel,turn-180,1.0,0.025
1.35,1.0,parallel,straight,0.0,0.0
1.35,1.0,parallel,turn+30,0.0,0.0
1.35,1.0,parallel,turn+60,0.0,0.0
1.35,1.0,parallel,turn+90,0.5869,0.175
1.35,1.0,parallel,turn+120,0.5869,0.05
1.35,1.0,parallel,turn+180,0.5869,0.025
1.35,1.0,parallel,turn-30,0.0,0.0
1.35,1.0,parallel,turn-60,0.6688,0.025
1.35,1.0,parallel,turn-90,0.8609,0.025
1.35,1.0,parallel,turn-120,0.0,0.0
1.35,1.0,parallel,turn-180,1.0,0.025
1.4,1.0,parallel,straight,0.0,0.0
1.4,1.0,parallel,turn+30,0.0,0.0
1.4,1.0,parallel,turn+60,0.0,0.0
1.4,1.0,parallel,turn+90,0.6045,0.15
1.4,1.0,parallel,turn+120,0.6045,0.05
1.4,1.0,parallel,turn+180,0.6045,0.025
1.4,1.0,parallel,turn-30,0.0,0.0
1.4,1.0,parallel,turn-60,0.6022,0.025
1.4,1.0,parallel,turn-90,0.82,0.025
1.4,1.0,parallel,turn-120,0.0,0.0
1.4,1.0,parallel,turn-180,1.0,0.025
1.45,1.0,parallel,straight,0.0,0.0
1.45,1.0,parallel,turn+30,0.0,0.0
1.45,1.0,parallel,turn+60,0.0,0.0
1.45,1.0,parallel,turn+90,0.6221,0.125
1.45,1.0,parallel,turn+120,0.6221,0.025
1.45,1.0,parallel,turn+180,0.6221,0.025
1.45,1.0,parallel,turn-30,0.0,0.0
1.45,1.0,parallel,turn-60,0.5269,0.025
1.45,1.0,parallel,turn-90,0.7736,0.025
1.45,1.0,parallel,turn-120,0.0,0.0
1.45,1.0,parallel,turn-180,1.0,0.025
1.5,1.0,parallel,straight,0.0,0.0
1.5,1.0,parallel,turn+30,0.0,0.0
1.5,1.0,parallel,turn+60,0.0,0.0
1.5,1.0,parallel,turn+90,0.6391,0.1
1.5,1.0,parallel,turn+120,0.6391,0.025
1.5,1.0,parallel,turn+180,0.6391,0.025
1.5,1.0,parallel,turn-30,0.0,0.0
1.5,1.0,parallel,turn-60,0.5124,0.025
1.5,1.0,parallel,turn-90,0.6788,0.025
1.5,1.0,parallel,turn-120,0.0,0.0
1.5,1.0,parallel,turn-180,1.0,0.025
0.75,1.0,crossing,straight,0.4538,0.0
0.75,1.0,crossing,turn+30,0.4571,0.0
0.75,1.0,crossing,turn+60,0.4368,0.0
0.75,1.0,crossing,turn+90,0.0,0.0
0.75,1.0,crossing,turn+120,0.8194,0.025
0.75,1.0,crossing,turn+180,1.0,0.025
0.75,1.0,crossing,turn-30,0.4262,0.0
0.75,1.0,crossing,turn-60,0.4872,0.0
0.75,1.0,crossing,turn-90,0.4141,0.0
0.75,1.0,crossing,turn-120,0.3641,0.0
0.75,1.0,crossing,turn-180,0.2316,0.0
0.8,1.0,crossing,straight,0.3641,0.0
0.8,1.0,crossing,turn+30,0.3551,0.0
0.8,1.0,crossing,turn+60,1.0,0.025
0.8,1.0,crossing,turn+90,0.0,0.0
0.8,1.0,crossing,turn+120,0.7299,0.025
0.8,1.0,crossing,turn+180,0.8372,0.025
0.8,1.0,crossing,turn-30,0.4838,0.0
0.8,1.0,crossing,turn-60,0.4163,0.0
0.8,1.0,crossing,turn-90,0.3574,0.0
0.8,1.0,crossing,turn-120,0.3184,0.0
0.8,1.0,crossing,turn-180,0.2028,0.0
0.85,1.0,crossing,straight,0.8894,0.025
0.85,1.0,crossing,turn+30,0.9505,0.025
0.85,1.0,crossing,turn+60,1.0,0.025
0.85,1.0,crossing,turn+90,0.0,0.0
0.85,1.0,crossing,turn+120,0.8741,0.025
0.85,1.0,crossing,turn+180,0.9447,0.025
0.85,1.0,crossing,turn-30,0.5488,0.025
0.85,1.0,crossing,turn-60,0.479,0.0
0.85,1.0,crossing,turn-90,0.4179,0.0
0.85,1.0,crossing,turn-120,0.3749,0.0
0.85,1.0,crossing,turn-180,0.2387,0.0
0.9,1.0,crossing,straight,0.9009,0.025
0.9,1.0,crossing,turn+30,0.9555,0.025
0.9,1.0,crossing,turn+60,1.0,0.025
0.9,1.0,crossing,turn+90,0.0,0.0
0.9,1.0,crossing,turn+120,0.9401,0.025
0.9,1.0,crossing,turn+180,0.9596,0.025
0.9,1.0,crossing,turn-30,0.56,0.025
0.9,1.0,crossing,turn-60,0.4957,0.0
0.9,1.0,crossing,turn-90,0.4392,0.0
0.9,1.0,crossing,turn-120,0.397,0.0
0.9,1.0,crossing,turn-180,0.2525,0.0
0.95,1.0,crossing,straight,0.8611,0.025
0.95,1.0,crossing,turn+30,0.9603,0.025
0.95,1.0,crossing,turn+60,1.0,0.025
0.95,1.0,crossing,turn+90,0.0,0.0
0.95,1.0,crossing,turn+120,0.9931,0.025
0.95,1.0,crossing,turn+180,0.9739,0.025
0.95,1.0,crossing,turn-30,0.5704,0.025
0.95,1.0,crossing,turn-60,0.5121,0.025
0.95,1.0,crossing,turn-90,0.4607,0.0
0.95,1.0,crossing,turn-120,0.4196,0.0
0.95,1.0,crossing,turn-180,0.2883,0.0
1.0,1.0,crossing,straight,0.8018,0.025
1.0,1.0,crossing,turn+30,0.9657,0.025
1.0,1.0,crossing,turn+60,1.0,0.025
1.0,1.0,crossing,turn+90,0.0,0.0
1.0,1.0,crossing,turn+120,0.0,0.0
1.0,1.0,crossing,turn+180,0.988,0.025
1.0,1.0,crossing,turn-30,0.5801,0.025
1.0,1.0,crossing,turn-60,0.5282,0.025
1.0,1.0,crossing,turn-90,0.4825,0.0
1.0,1.0,crossing,turn-120,0.4869,0.0
1.0,1.0,crossing,turn-180,0.3476,0.0
1.05,1.0,crossing,straight,0.7286,0.025
1.05,1.0,crossing,turn+30,0.9693,0.025
1.05,1.0,crossing,turn+60,0.9986,0.025
1.05,1.0,crossing,turn+90,0.0,0.0
1.05,1.0,crossing,turn+120,0.0,0.0
1.05,1.0,crossing,turn+180,1.0,0.025
1.05,1.0,crossing,turn-30,0.588,0.025
1.05,1.0,crossing,turn-60,0.543,0.025
1.05,1.0,crossing,turn-90,0.5034,0.025
1.05,1.0,crossing,turn-120,0.5662,0.05
1.05,1.0,crossing,turn-180,0.3866,0.0
1.1,1.0,crossing,straight,0.6355,0.025
1.1,1.0,crossing,turn+30,0.8751,0.025
1.1,1.0,crossing,turn+60,0.9864,0.025
1.1,1.0,crossing,turn+90,0.0,0.0
1.1,1.0,crossing,turn+120,0.0,0.0
1.1,1.0,crossing,turn+180,1.0,0.025
1.1,1.0,crossing,turn-30,0.5879,0.025
1.1,1.0,crossing,turn-60,0.5507,0.025
1.1,1.0,crossing,turn-90,0.5182,0.025
1.1,1.0,crossing,turn-120,0.7371,0.05
1.1,1.0,crossing,turn-180,0.4085,0.0
1.15,1.0,crossing,straight,0.6094,0.025
1.15,1.0,crossing,turn+30,0.7172,0.025
1.15,1.0,crossing,turn+60,0.8807,0.025
1.15,1.0,crossing,turn+90,0.0,0.0
1.15,1.0,crossing,turn+120,0.0,0.0
1.15,1.0,crossing,turn+180,0.9857,0.025
1.15,1.0,crossing,turn-30,0.5787,0.025
1.15,1.0,crossing,turn-60,0.5498,0.025
1.15,1.0,crossing,turn-90,0.5251,0.025
1.15,1.0,crossing,turn-120,1.0,0.075
1.15,1.0,crossing,turn-180,0.4223,0.0
1.2,1.0,crossing,straight,0.5594,0.025
1.2,1.0,crossing,turn+30,0.5807,0.025
1.2,1.0,crossing,turn+60,0.6521,0.025
1.2,1.0,crossing,turn+90,0.0,0.0
1.2,1.0,crossing,turn+120,0.0,0.0
1.2,1.0,crossing,turn+180,0.9083,0.025
1.2,1.0,crossing,turn-30,0.5378,0.025
1.2,1.0,crossing,turn-60,0.5182,0.025
1.2,1.0,crossing,turn-90,0.5023,0.025
1.2,1.0,crossing,turn-120,1.0,0.025
1.2,1.0,crossing,turn-180,0.4097,0.0
1.25,1.0,crossing,straight,0.5037,0.025
1.25,1.0,crossing,turn+30,0.5181,0.025
1.25,1.0,crossing,turn+60,0.5323,0.025
1.25,1.0,crossing,turn+90,0.0,0.0
1.25,1.0,crossing,turn+120,0.0,0.0
1.25,1.0,crossing,turn+180,0.7378,0.025
1.25,1.0,crossing,turn-30,0.4903,0.0
1.25,1.0,crossing,turn-60,0.4791,0.0
1.25,1.0,crossing,turn-90,0.4713,0.0
1.25,1.0,crossing,turn-120,1.0,0.025
1.25,1.0,crossing,turn-180,0.8908,0.025
1.3,1.0,crossing,straight,0.3819,0.0
1.3,1.0,crossing,turn+30,0.3892,0.0
1.3,1.0,crossing,turn+60,0.3977,0.0
1.3,1.0,crossing,turn+90,0.0,0.0
1.3,1.0,crossing,turn+120,0.0,0.0
1.3,1.0,crossing,turn+180,0.49,0.0
1.3,1.0,crossing,turn-30,0.3762,0.0
1.3,1.0,crossing,turn-60,0.3728,0.0
1.3,1.0,crossing,turn-90,0.3722,0.0
1.3,1.0,crossing,turn-120,1.0,0.025
1.3,1.0,crossing,turn-180,0.7212,0.025
1.35,1.0,crossing,straight,0.4955,0.0
1.35,1.0,crossing,turn+30,0.5005,0.025
1.35,1.0,crossing,turn+60,0.5089,0.025
1.35,1.0,crossing,turn+90,0.0,0.0
1.35,1.0,crossing,turn+120,0.0,0.0
1.35,1.0,crossing,turn+180,0.5739,0.025
1.35,1.0,crossing,turn-30,0.4941,0.0
1.35,1.0,crossing,turn-60,0.4966,0.0
1.35,1.0,crossing,turn-90,0.5031,0.025
1.35,1.0,crossing,turn-120,0.514,0.025
1.35,1.0,crossing,turn-180,1.0,0.025
1.4,1.0,crossing,straight,0.4637,0.0
1.4,1.0,crossing,turn+30,0.4641,0.0
1.4,1.0,crossing,turn+60,0.1536,0.0
1.4,1.0,crossing,turn+90,0.0,0.0
1.4,1.0,crossing,turn+120,0.0,0.0
1.4,1.0,crossing,turn+180,0.8856,0.025
1.4,1.0,crossing,turn-30,0.468,0.0
1.4,1.0,crossing,turn-60,0.4771,0.0
1.4,1.0,crossing,turn-90,0.4905,0.0
1.4,1.0,crossing,turn-120,0.5082,0.025
1.4,1.0,crossing,turn-180,1.0,0.025
1.45,1.0,crossing,straight,0.3857,0.0
1.45,1.0,crossing,turn+30,0.3826,0.0
1.45,1.0,crossing,turn+60,0.1335,0.0
1.45,1.0,crossing,turn+90,0.0,0.0
1.45,1.0,crossing,turn+120,0.0,0.0
1.45,1.0,crossing,turn+180,0.7886,0.025
1.45,1.0,crossing,turn-30,0.3942,0.0
1.45,1.0,crossing,turn-60,0.4076,0.0
1.45,1.0,crossing,turn-90,0.4254,0.0
1.45,1.0,crossing,turn-120,0.4469,0.0
1.45,1.0,crossing,turn-180,1.0,0.025
1.5,1.0,crossing,straight,0.3225,0.0
1.5,1.0,crossing,turn+30,0.3169,0.0
1.5,1.0,crossing,turn+60,0.117,0.0
1.5,1.0,crossing,turn+90,0.0,0.0
1.5,1.0,crossing,turn+120,0.0,0.0
1.5,1.0,crossing,turn+180,0.7295,0.025
1.5,1.0,crossing,turn-30,0.3338,0.0
1.5,1.0,crossing,turn-60,0.3502,0.0
1.5,1.0,crossing,turn-90,0.3709,0.0
1.5,1.0,crossing,turn-120,0.3952,0.0
1.5,1.0,crossing,turn-180,1.0,0.025
0.75,1.3,head_on,straight,0.0,0.0
0.75,1.3,head_on,turn+30,1.0,0.025
0.75,1.3,head_on,turn+60,0.8375,0.025
0.75,1.3,head_on,turn+90,0.7826,0.025
0.75,1.3,head_on,turn+120,0.5244,0.025
0.75,1.3,head_on,turn+180,0.3832,0.0
0.75,1.3,head_on,turn-30,1.0,0.025
0.75,1.3,head_on,turn-60,0.8375,0.025
0.75,1.3,head_on,turn-90,0.7826,0.025
0.75,1.3,head_on,turn-120,0.5244,0.025
0.75,1.3,head_on,turn-180,0.3832,0.0
0.8,1.3,head_on,straight,0.0,0.0
0.8,1.3,head_on,turn+30,1.0,0.025
0.8,1.3,head_on,turn+60,0.9583,0.025
0.8,1.3,head_on,turn+90,0.9028,0.025
0.8,1.3,head_on,turn+120,0.6282,0.025
0.8,1.3,head_on,turn+180,0.4595,0.0
0.8,1.3,head_on,turn-30,1.0,0.025
0.8,1.3,head_on,turn-60,0.9583,0.025
0.8,1.3,head_on,turn-90,0.9028,0.025
0.8,1.3,head_on,turn-120,0.6282,0.025
0.8,1.3,head_on,turn-180,0.4595,0.0
0.85,1.3,head_on,straight,0.0,0.0
0.85,1.3,head_on,turn+30,0.0,0.0
0.85,1.3,head_on,turn+60,1.0,0.025
0.85,1.3,head_on,turn+90,0.9502,0.025
0.85,1.3,head_on,turn+120,0.675,0.025
0.85,1.3,head_on,turn+180,0.502,0.025
0.85,1.3,head_on,turn-30,0.0,0.0
0.85,1.3,head_on,turn-60,1.0,0.025
0.85,1.3,head_on,turn-90,0.9502,0.025
0.85,1.3,head_on,turn-120,0.675,0.025
0.85,1.3,head_on,turn-180,0.502,0.025
0.9,1.3,head_on,straight,0.0,0.0
0.9,1.3,head_on,turn+30,0.0,0.0
0.9,1.3,head_on,turn+60,1.0,0.025
0.9,1.3,head_on,turn+90,0.958,0.025
0.9,1.3,head_on,turn+120,0.6834,0.025
