phase,cell,metric,old,amended,difference
discovery,crossing_0.7_blue,FF,0.0,0.0,0.0
discovery,crossing_0.7_blue,CC,-1.7858828249806522,-1.7858828249806522,0.0
discovery,crossing_0.7_blue,FC,0.0,0.0,0.0
discovery,crossing_0.7_blue,CF,-5.035148723970134,-5.035148723970134,0.0
discovery,crossing_0.7_red,FF,0.0,0.0,0.0
discovery,crossing_0.7_red,CC,1.7858828249806495,1.7858828249806495,0.0
discovery,crossing_0.7_red,FC,5.035148723970126,5.035148723970126,0.0
discovery,crossing_0.7_red,CF,-0.0,-0.0,0.0
discovery,crossing_0.85_blue,FF,0.0,0.0,0.0
discovery,crossing_0.85_blue,CC,-0.9925550724196708,-0.9925550724196708,0.0
discovery,crossing_0.85_blue,FC,0.3701933961485152,0.3701933961485152,0.0
discovery,crossing_0.85_blue,CF,-3.90336794014818,-3.90336794014818,0.0
discovery,crossing_0.85_red,FF,0.0,0.0,0.0
discovery,crossing_0.85_red,CC,0.9925550724196702,0.9925550724196702,0.0
discovery,crossing_0.85_red,FC,3.9033679401481858,3.9033679401481858,0.0
discovery,crossing_0.85_red,CF,-0.3701933961485154,-0.3701933961485154,0.0
discovery,crossing_1.15_blue,FF,-0.19579914054675457,-0.19579914054675457,0.0
discovery,crossing_1.15_blue,CC,0.9020027365938623,0.9020027365938623,0.0
discovery,crossing_1.15_blue,FC,2.7871584090568255,2.7871584090568255,0.0
discovery,crossing_1.15_blue,CF,-1.0845625150722615,-1.0845625150722615,0.0
discovery,crossing_1.15_red,FF,0.19579914054675807,0.19579914054675807,0.0
discovery,crossing_1.15_red,CC,-0.9020027365938651,-0.9020027365938651,0.0
discovery,crossing_1.15_red,FC,1.084562515072259,1.084562515072259,0.0
discovery,crossing_1.15_red,CF,-2.7871584090568358,-2.7871584090568358,0.0
discovery,crossing_1.3_blue,FF,0.9057698151542569,0.9057698151542569,0.0
discovery,crossing_1.3_blue,CC,2.040965998640277,2.040965998640277,0.0
discovery,crossing_1.3_blue,FC,4.819727999117757,4.819727999117757,0.0
discovery,crossing_1.3_blue,CF,-0.9935622687579645,-0.9935622687579645,0.0
discovery,crossing_1.3_red,FF,-0.9057698151542577,-0.9057698151542577,0.0
discovery,crossing_1.3_red,CC,-2.040965998640278,-2.040965998640278,0.0
discovery,crossing_1.3_red,FC,0.9935622687579592,0.9935622687579592,0.0
discovery,crossing_1.3_red,CF,-4.81972799911774,-4.81972799911774,0.0
discovery,crossing_1_blue,FF,0.0,0.0,0.0
discovery,crossing_1_blue,CC,-4.301377034918266e-16,-4.301377034918266e-16,0.0
discovery,crossing_1_blue,FC,2.525756156854352,2.525756156854352,0.0
discovery,crossing_1_blue,CF,-2.5257561568543467,-2.5257561568543467,0.0
discovery,crossing_1_red,FF,0.0,0.0,0.0
discovery,crossing_1_red,CC,-4.301377034918266e-16,-4.301377034918266e-16,0.0
discovery,crossing_1_red,FC,2.525756156854352,2.525756156854352,0.0
discovery,crossing_1_red,CF,-2.5257561568543467,-2.5257561568543467,0.0
discovery,head_on_0.7_blue,FF,-0.36074451154403775,-0.36074451154403775,0.0
discovery,head_on_0.7_blue,CC,-0.14622378379365636,-0.14622378379365636,0.0
discovery,head_on_0.7_blue,FC,5.985302345272643,5.985302345272643,0.0
discovery,head_on_0.7_blue,CF,-6.6932555252829244,-6.6932555252829244,0.0
discovery,head_on_0.7_red,FF,0.3607445115440373,0.3607445115440373,0.0
discovery,head_on_0.7_red,CC,0.14622378379365222,0.14622378379365222,0.0
discovery,head_on_0.7_red,FC,6.693255525283037,6.693255525283037,0.0
discovery,head_on_0.7_red,CF,-5.985302345272645,-5.985302345272645,0.0
discovery,head_on_0.85_blue,FF,0.668851615692641,0.668851615692641,0.0
discovery,head_on_0.85_blue,CC,0.23498781299269153,0.23498781299269153,0.0
discovery,head_on_0.85_blue,FC,6.816069540555114,6.816069540555114,0.0
discovery,head_on_0.85_blue,CF,-6.381095911095751,-6.381095911095751,0.0
discovery,head_on_0.85_red,FF,-0.6688516156926401,-0.6688516156926401,0.0
discovery,head_on_0.85_red,CC,-0.23498781299269628,-0.23498781299269628,0.0
discovery,head_on_0.85_red,FC,6.38109591109575,6.38109591109575,0.0
discovery,head_on_0.85_red,CF,-6.8160695405551195,-6.8160695405551195,0.0
discovery,head_on_1.15_blue,FF,-0.4932434260851135,-0.4932434260851135,0.0
discovery,head_on_1.15_blue,CC,1.625009513225653,1.625009513225653,0.0
discovery,head_on_1.15_blue,FC,7.0154836923602275,7.0154836923602275,0.0
discovery,head_on_1.15_blue,CF,-3.965215547009518,-3.965215547009518,0.0
discovery,head_on_1.15_red,FF,0.4932434260850924,0.4932434260850924,0.0
discovery,head_on_1.15_red,CC,-1.6250095132256552,-1.6250095132256552,0.0
discovery,head_on_1.15_red,FC,3.965215547009512,3.965215547009512,0.0
discovery,head_on_1.15_red,CF,-7.015483692360226,-7.015483692360226,0.0
discovery,head_on_1.3_blue,FF,-0.048612330985459584,-0.048612330985459584,0.0
discovery,head_on_1.3_blue,CC,-0.23757900693097828,-0.23757900693097828,0.0
discovery,head_on_1.3_blue,FC,5.501328998637311,5.501328998637311,0.0
discovery,head_on_1.3_blue,CF,-4.689011156389714,-4.689011156389714,0.0
discovery,head_on_1.3_red,FF,0.0486123309854614,0.0486123309854614,0.0
discovery,head_on_1.3_red,CC,0.23757900693097728,0.23757900693097728,0.0
discovery,head_on_1.3_red,FC,4.68901115638972,4.68901115638972,0.0
discovery,head_on_1.3_red,CF,-5.501328998637306,-5.501328998637306,0.0
discovery,head_on_1_blue,FF,1.1102230246251565e-16,1.1102230246251565e-16,0.0
discovery,head_on_1_blue,CC,3.400142184309886e-17,3.400142184309886e-17,0.0
discovery,head_on_1_blue,FC,5.348411684396352,5.348411684396352,0.0
discovery,head_on_1_blue,CF,-5.348411684396351,-5.348411684396351,0.0
discovery,head_on_1_red,FF,1.1102230246251565e-16,1.1102230246251565e-16,0.0
discovery,head_on_1_red,CC,3.400142184309886e-17,3.400142184309886e-17,0.0
discovery,head_on_1_red,FC,5.348411684396352,5.348411684396352,0.0
discovery,head_on_1_red,CF,-5.348411684396351,-5.348411684396351,0.0
discovery,parallel_0.7_blue,FF,-0.48763081935246566,-0.48763081935246566,0.0
discovery,parallel_0.7_blue,CC,-1.3255180338590098,-1.3255180338590098,0.0
discovery,parallel_0.7_blue,FC,1.026473030041753,1.026473030041753,0.0
discovery,parallel_0.7_blue,CF,-4.823808698475707,-4.823808698475707,0.0
discovery,parallel_0.7_red,FF,0.48763081935246566,0.48763081935246566,0.0
discovery,parallel_0.7_red,CC,1.3255180338590142,1.3255180338590142,0.0
discovery,parallel_0.7_red,FC,4.823808698475721,4.823808698475721,0.0
discovery,parallel_0.7_red,CF,-1.0264730300417524,-1.0264730300417524,0.0
discovery,parallel_0.85_blue,FF,0.0,0.0,0.0
