id,phase,geometry,contrast,opponent_policy,v_low,v_high,opponent_speed,F_low,F_high,M,LB,UB,interval_width,positive,reversal,strong_reversal,mirror_M_error,delta_Theta_0.9,delta_Theta_centroid_0.9,delta_Theta_hausdorff_0.9,delta_R_raw_0.9,delta_directed_drift_0.9,delta_centroid_drift_0.9,delta_hausdorff_0.9,delta_raw_ratio_0.9,delta_nonnegative_ratio_0.9,delta_opponent_heading_change_0.9,delta_Theta_0.8,delta_Theta_centroid_0.8,delta_Theta_hausdorff_0.8,delta_R_raw_0.8,delta_directed_drift_0.8,delta_centroid_drift_0.8,delta_hausdorff_0.8,delta_raw_ratio_0.8,delta_nonnegative_ratio_0.8,delta_opponent_heading_change_0.8,Theta_low,Theta_high
head_on_adjacent1_F,discovery,head_on,adjacent1,F,0.7,0.85,1.0,6.332511013738887,7.049947526788392,0.7174365130495053,0.7174365130495968,0.7174365130494147,-1.8207657603852567e-13,True,False,False,1.1457501614131615e-13,-0.027650133988587858,-0.02238727857786066,-0.009920148611311186,-0.7910848276350111,0.05638282836926933,0.677424601875722,0.39984523405122463,-0.11215100458493793,-0.03237732880357219,0.0,-0.03577415495992453,-0.027883288861438704,-0.02095047387117241,-0.7673164816336875,0.0,-0.06443846697428057,-0.17157287525381015,-0.13443488324432554,-0.045898522520868075,0.0,0.08549629567256148,0.05784616168397362
head_on_adjacent1_C,discovery,head_on,adjacent1,C,0.7,0.85,1.0,6.1315261290663,6.581081727562423,0.44955559849612303,0.44955559849455895,0.44955559849768356,3.1246116805050406e-12,True,False,False,2.6645352591003757e-15,-0.027650133988587858,-0.02238727857786066,-0.009920148611311186,-0.7910848276350111,0.05638282836926933,0.677424601875722,0.39984523405122463,-0.11215100458493793,-0.03237732880357219,0.0,-0.03577415495992453,-0.027883288861438704,-0.02095047387117241,-0.7673164816336875,0.0,-0.06443846697428057,-0.17157287525381015,-0.13443488324432554,-0.045898522520868075,0.0,0.08549629567256148,0.05784616168397362
head_on_adjacent2_F,discovery,head_on,adjacent2,F,0.85,1,1.0,7.049947526788392,5.348411684396351,-1.7015358423920413,-1.7015358423920839,-1.7015358423919977,8.615330671091215e-14,False,True,True,2.6645352591003757e-15,-0.05784616168397362,-0.057267964785084446,-0.045562712041822356,-0.7150428276891907,0.1873594014289699,-0.25639651471825164,-0.5389053935745434,-0.14053239389153632,-0.06593362411195948,0.0,-0.04399350437378641,-0.038791227177286405,-0.031878081130632265,-0.546604819545045,0.0062900449558283,0.21334591158486216,0.567339161031363,-0.10277403745818303,-0.049126543762687054,0.0,0.05784616168397362,0.0
head_on_adjacent2_C,discovery,head_on,adjacent2,C,0.85,1,1.0,6.581081727562423,5.348411684396352,-1.2326700431660713,-1.232670043167711,-1.2326700431644317,3.2791547255328624e-12,False,True,True,8.881784197001252e-16,-0.05784616168397362,-0.057267964785084446,-0.045562712041822356,-0.7150428276891907,0.1873594014289699,-0.25639651471825164,-0.5389053935745434,-0.14053239389153632,-0.06593362411195948,0.0,-0.04399350437378641,-0.038791227177286405,-0.031878081130632265,-0.546604819545045,0.0062900449558283,0.21334591158486216,0.567339161031363,-0.10277403745818303,-0.049126543762687054,0.0,0.05784616168397362,0.0
head_on_adjacent3_F,discovery,head_on,adjacent3,F,1,1.15,1.0,5.348411684396351,3.4719721209244043,-1.8764395634719464,-1.8764395634719877,-1.876439563471905,8.260059303211165e-14,False,True,True,1.4654943925052066e-14,0.0,0.0,0.0,-0.7639193570375691,-0.2031728147561438,-0.27692797378764755,-0.3274309564173512,-0.12958791832302297,0.0,0.0,0.0,0.0,0.0,-0.21906150998524043,-0.0062900449558283,-0.3912953690628145,-0.5112751423446085,-0.14190100724762605,0.0,0.0,0.0,0.0
head_on_adjacent3_C,discovery,head_on,adjacent3,C,1,1.15,1.0,5.348411684396352,5.390474179134575,0.04206249473822332,0.042062494737831635,0.04206249473861767,7.860379014346108e-13,True,False,False,3.552713678800501e-15,0.0,0.0,0.0,-0.7639193570375691,-0.2031728147561438,-0.27692797378764755,-0.3274309564173512,-0.12958791832302297,0.0,0.0,0.0,0.0,0.0,-0.21906150998524043,-0.0062900449558283,-0.3912953690628145,-0.5112751423446085,-0.14190100724762605,0.0,0.0,0.0,0.0
head_on_adjacent4_F,discovery,head_on,adjacent4,F,1.15,1.3,1.0,3.4719721209244043,4.6403988254042545,1.1684267044798502,1.1684267044798098,1.1684267044798853,7.549516567451064e-14,True,False,False,1.199040866595169e-14,0.0,0.0,0.0,-0.26887437540145975,0.1393010219285804,-0.034904680072709304,0.0,-0.1369597952567742,0.0,0.0,0.0,0.0,0.0,-0.22091168862028088,0.0062900449558283,-0.014290618465438776,-0.05606401868675448,-0.028975223993012167,0.0,0.0,0.0,0.0
head_on_adjacent4_C,discovery,head_on,adjacent4,C,1.15,1.3,1.0,5.390474179134575,5.738908005568289,0.34843382643371434,0.34843382642929654,0.3484338264381295,8.832934383917745e-12,True,False,False,1.7763568394002505e-15,0.0,0.0,0.0,-0.26887437540145975,0.1393010219285804,-0.034904680072709304,0.0,-0.1369597952567742,0.0,0.0,0.0,0.0,0.0,-0.22091168862028088,0.0062900449558283,-0.014290618465438776,-0.05606401868675448,-0.028975223993012167,0.0,0.0,0.0,0.0
parallel_adjacent1_F,discovery,parallel,adjacent1,F,0.7,0.85,1.0,4.336177879123241,4.578523438872283,0.24234555974904204,0.24234555974901717,0.2423455597490669,4.973799150320701e-14,True,False,False,4.440892098500626e-15,-0.03649608685688868,-0.03849412485097782,-0.007211508972298511,-0.05778630275442054,0.056382828369268445,0.677424601875722,0.39984523405122463,-0.06587135965153576,-0.05015337920179358,0.0,-0.011553686433805749,-0.024181993557869486,-0.007971842794973566,-0.24435768159378823,0.0,-0.06443846697428057,-0.17157287525380926,-0.04222555641507669,-0.013412633908531368,0.0,0.16042502759905913,0.12392894074217045
parallel_adjacent1_C,discovery,parallel,adjacent1,C,0.7,0.85,1.0,2.351991063900763,2.8746625542452033,0.5226714903444405,0.522671490343737,0.5226714903451444,1.4073187060148484e-12,True,False,False,4.440892098500626e-16,-0.03649608685688868,-0.03849412485097782,-0.007211508972298511,-0.05778630275442054,0.056382828369268445,0.677424601875722,0.39984523405122463,-0.06587135965153576,-0.05015337920179358,0.0,-0.011553686433805749,-0.024181993557869486,-0.007971842794973566,-0.24435768159378823,0.0,-0.06443846697428057,-0.17157287525380926,-0.04222555641507669,-0.013412633908531368,0.0,0.16042502759905913,0.12392894074217045
