geometry,focal_speed_ratio,opponent_speed_ratio,V_FF,V_FC,V_CF,V_CC,F_blue_given_red_F,F_blue_given_red_C,mirror_value_error,exact
head_on,0.7,1.0,-0.36074451154403775,5.985302345272643,-6.6932555252829244,-0.14622378379365636,6.332511013738887,6.1315261290663,1.127986593019159e-13,complete finite game to numerical LP precision
head_on,0.85,1.0,0.668851615692641,6.816069540555114,-6.381095911095751,0.23498781299269153,7.049947526788392,6.581081727562423,5.329070518200751e-15,complete finite game to numerical LP precision
head_on,1.0,1.0,1.1102230246251565e-16,5.348411684396352,-5.348411684396351,3.400142184309886e-17,5.348411684396351,5.348411684396352,8.881784197001252e-16,complete finite game to numerical LP precision
head_on,1.15,1.0,-0.4932434260851135,7.0154836923602275,-3.965215547009518,1.625009513225653,3.4719721209244043,5.390474179134575,2.1094237467877974e-14,complete finite game to numerical LP precision
head_on,1.3,1.0,-0.048612330985459584,5.501328998637311,-4.689011156389714,-0.23757900693097828,4.6403988254042545,5.738908005568289,5.329070518200751e-15,complete finite game to numerical LP precision
parallel,0.7,1.0,-0.48763081935246566,1.026473030041753,-4.823808698475707,-1.3255180338590098,4.336177879123241,2.351991063900763,1.4210854715202004e-14,complete finite game to numerical LP precision
parallel,0.85,1.0,0.0,2.2004322158199767,-4.578523438872283,-0.6742303384252266,4.578523438872283,2.8746625542452033,9.769962616701378e-15,complete finite game to numerical LP precision
parallel,1.0,1.0,0.0,3.406573724064333,-3.406573724064325,9.624524988801733e-16,3.406573724064325,3.406573724064332,7.993605777301127e-15,complete finite game to numerical LP precision
parallel,1.15,1.0,0.39275157368197067,5.275772503610107,-2.5223430812289744,1.0651281938202224,2.915094654910945,4.210644309789885,2.6645352591003757e-15,complete finite game to numerical LP precision
parallel,1.3,1.0,0.0,5.745755475255042,-1.897687618726574,1.8707751978543663,1.897687618726574,3.874980277400676,5.329070518200751e-15,complete finite game to numerical LP precision
crossing,0.7,1.0,0.0,0.0,-5.035148723970134,-1.7858828249806522,5.035148723970134,1.7858828249806522,7.993605777301127e-15,complete finite game to numerical LP precision
crossing,0.85,1.0,0.0,0.3701933961485152,-3.90336794014818,-0.9925550724196708,3.90336794014818,1.3627484685681859,5.773159728050814e-15,complete finite game to numerical LP precision
crossing,1.0,1.0,0.0,2.525756156854352,-2.5257561568543467,-4.301377034918266e-16,2.5257561568543467,2.5257561568543525,5.329070518200751e-15,complete finite game to numerical LP precision
crossing,1.15,1.0,-0.19579914054675457,2.7871584090568255,-1.0845625150722615,0.9020027365938623,0.888763374525507,1.8851556724629632,1.021405182655144e-14,complete finite game to numerical LP precision
crossing,1.3,1.0,0.9057698151542569,4.819727999117757,-0.9935622687579645,2.040965998640277,1.8993320839122214,2.77876200047748,1.687538997430238e-14,complete finite game to numerical LP precision
