distance,sector,rel,attacker_heading,target_heading,target_speed,target_aspect,total,kind_primary,kind_secondary,kind_tertiary
2,bow,0,1,3,4,bow_stern,1.4166666666666667,1.4166666666666667,,
2,bow,0,1,3,5,bow_stern,1.4166666666666667,1.4166666666666667,,
2,bow,0,1,4,0,broadside,1.9444444444444444,1.9444444444444444,,
2,bow,0,1,4,1,broadside,1.4722222222222223,1.4722222222222223,,
2,bow,0,1,4,2,broadside,1.1944444444444444,1.1944444444444444,,
2,bow,0,1,4,3,broadside,1.1944444444444444,1.1944444444444444,,
2,bow,0,1,4,4,broadside,0.9722222222222222,0.9722222222222222,,
2,bow,0,1,4,5,broadside,0.9722222222222222,0.9722222222222222,,
2,bow,0,1,5,0,broadside,1.9444444444444444,1.9444444444444444,,
2,bow,0,1,5,1,broadside,1.4722222222222223,1.4722222222222223,,
2,bow,0,1,5,2,broadside,1.1944444444444444,1.1944444444444444,,
2,bow,0,1,5,3,broadside,1.1944444444444444,1.1944444444444444,,
