eta_v,coupling,d_perp,run_turns,T_repos,heading_excursion_deg,path_length_hex,min_range_hex,t_firing_envelope_Lpos,t_Lneg,t_Lzero,min_lateral_offset_hex,J_stay,J_maneuver,C_reposition
1.25,independent,8,0,2,180.0,180.0,17.528,5,0,19,2.245,3.9552,1.2806,2.6746
1.25,independent,9,0,2,180.0,180.0,17.797,24,0,0,1.245,3.9166,3.3594,0.5572
1.25,independent,10,0,2,180.0,180.0,18.117,23,0,1,0.245,0.0,3.1095,-3.1095
1.25,engine_coupled,0,0,0,180.0,172.5,16.0,4,0,20,0.0,4.0992,1.1904,2.9088
1.25,engine_coupled,1,0,1,180.0,172.5,16.031,5,0,19,1.0,4.0968,1.4414,2.6553
1.25,engine_coupled,2,0,1,180.0,172.5,16.125,23,0,1,1.125,4.0894,3.2824,0.807
1.25,engine_coupled,3,0,1,180.0,172.5,16.279,24,0,0,0.125,4.0773,3.5202,0.5571
1.25,engine_coupled,4,0,2,180.0,172.5,16.492,24,0,0,0.875,4.0605,3.3532,0.7074
1.25,engine_coupled,5,0,2,180.0,172.5,16.763,24,0,0,1.875,4.0393,3.3514,0.6878
1.25,engine_coupled,6,0,2,180.0,172.5,17.088,24,0,0,2.538,4.0142,3.3492,0.665
1.25,engine_coupled,7,0,2,180.0,172.5,17.464,24,0,0,1.538,3.9864,3.3465,0.64
1.25,engine_coupled,8,0,2,180.0,172.5,17.889,24,0,0,0.538,3.9552,3.3432,0.6119
1.25,engine_coupled,9,0,3,180.0,172.5,18.358,24,0,0,0.462,3.9166,3.3393,0.5773
1.25,engine_coupled,10,0,3,180.0,172.5,18.868,23,0,1,1.462,0.0,3.0867,-3.0867
