message_id,kind,side,sender,recipient,issued_turn,issued_phase,sender_hex,recipient_hex,hex_distance,tbs_range_hex,distance_within_tbs,optical_range_hex_v2_2_rule,selected_medium,relay_hops,handling_delay,encoding_delay,relay_delay,reencipher_delay,queue_delay,clarification_delay,total_delay,route_reason,delivered_turn,status,in_person,report_author,flags,corrected_medium_v2_3,corrected_base_delay_v2_3,medium_changed,range_nmi
MSG-00078,mission_order,allies,IBS-U-USN-ERMA-IOWA,allies-destroyer-line,7,movement_planning,"(28, 4)","(8, 26)",22,73,True,13,wt_reencipher_relay,1,2,,,,,,2,coded set but the ends are under different ciphers,9,delivered,False,,DIRECT_TBS_AVAILABLE_BUT_NOT_USED;UNJUSTIFIED_REENCIPHER;UNJUSTIFIED_RELAY;MISSING_RELAY_OR_CRYPTO_PROVENANCE;DISTANCE_DELAY_BUG,tbs_short,0,True,6.52
MSG-00079,contact_report,axis,IBS-U-IJN-ERMA-GOKASE,axis-battle-line,7,movement_planning,"(0, 8)","(13, -2)",13,73,True,15,blackout,0,0,,,,,,0,a formation has no guide afloat,,queued,False,axis-cruiser-line,,tbs_short,0,True,3.85
MSG-00080,acknowledgement,axis,IBS-U-IJN-ERMA-GOKASE,axis-battle-line,7,movement_planning,"(0, 8)","(13, -2)",13,73,True,15,blackout,0,0,,,,,,0,a formation has no guide afloat,,queued,False,,,tbs_short,0,True,3.85
MSG-00081,contact_report,axis,IBS-U-IJN-ERMA-SHIMAKAZE,axis-battle-line,7,movement_planning,"(6, 9)","(13, -2)",11,73,True,15,tbs_short,0,0,,,,,,0,within tactical range with line of sight,7,delivered,False,axis-destroyer-line,,tbs_short,0,False,3.26
MSG-00082,acknowledgement,axis,IBS-U-IJN-ERMA-SHIMAKAZE,axis-battle-line,7,movement_planning,"(6, 9)","(13, -2)",11,73,True,15,tbs_short,0,0,,,,,,0,within tactical range with line of sight,7,delivered,False,,,tbs_short,0,False,3.26
MSG-00083,contact_report,allies,IBS-U-USN-ERMA-DES-MOINES,allies-battle-line,7,movement_planning,"(0, 19)","(28, 4)",28,73,True,13,wt_reencipher_relay,1,2,,,,,,2,coded set but the ends are under different ciphers,9,delivered,False,allies-cruiser-line,DIRECT_TBS_AVAILABLE_BUT_NOT_USED;UNJUSTIFIED_REENCIPHER;UNJUSTIFIED_RELAY;MISSING_RELAY_OR_CRYPTO_PROVENANCE;DISTANCE_DELAY_BUG,tbs_short,0,True,8.29
MSG-00084,deviation_report,allies,IBS-U-USN-ERMA-DES-MOINES,allies-battle-line,7,movement_planning,"(0, 19)","(28, 4)",28,73,True,13,wt_reencipher_relay,1,2,,,,,,2,偏离命令报告：coded set but the ends are under different ciphers,9,delivered,False,allies-cruiser-line,DIRECT_TBS_AVAILABLE_BUT_NOT_USED;UNJUSTIFIED_REENCIPHER;UNJUSTIFIED_RELAY;MISSING_RELAY_OR_CRYPTO_PROVENANCE;DISTANCE_DELAY_BUG,tbs_short,0,True,8.29
MSG-00085,acknowledgement,allies,IBS-U-USN-ERMA-DES-MOINES,allies-battle-line,7,movement_planning,"(0, 19)","(28, 4)",28,73,True,13,wt_reencipher_relay,1,2,,,,,,2,coded set but the ends are under different ciphers,9,delivered,False,,DIRECT_TBS_AVAILABLE_BUT_NOT_USED;UNJUSTIFIED_REENCIPHER;UNJUSTIFIED_RELAY;MISSING_RELAY_OR_CRYPTO_PROVENANCE;DISTANCE_DELAY_BUG,tbs_short,0,True,8.29
MSG-00086,sitrep,allies,IBS-U-USN-ERMA-ALLEN-M-SUMNER,allies-battle-line,7,movement_planning,"(8, 26)","(28, 4)",22,73,True,13,wt_reencipher_relay,1,2,,,,,,2,coded set but the ends are under different ciphers,9,delivered,False,allies-destroyer-line,DIRECT_TBS_AVAILABLE_BUT_NOT_USED;UNJUSTIFIED_REENCIPHER;UNJUSTIFIED_RELAY;MISSING_RELAY_OR_CRYPTO_PROVENANCE;DISTANCE_DELAY_BUG,tbs_short,0,True,6.52
MSG-00087,acknowledgement,allies,IBS-U-USN-ERMA-ALLEN-M-SUMNER,allies-battle-line,7,movement_planning,"(8, 26)","(28, 4)",22,73,True,13,wt_reencipher_relay,1,2,,,,,,2,coded set but the ends are under different ciphers,9,delivered,False,,DIRECT_TBS_AVAILABLE_BUT_NOT_USED;UNJUSTIFIED_REENCIPHER;UNJUSTIFIED_RELAY;MISSING_RELAY_OR_CRYPTO_PROVENANCE;DISTANCE_DELAY_BUG,tbs_short,0,True,6.52
MSG-00088,mission_order,axis,IBS-U-IJN-ERMA-YAMATO,axis-battle-line,8,movement_planning,"(13, -2)","(13, -2)",0,73,False,15,tbs_short,0,0,,,,,,0,同编队当面下令：当面交办，不占用通信链路,8,delivered,True,,,face_to_face,0,True,0.0
MSG-00089,mission_order,axis,IBS-U-IJN-ERMA-YAMATO,axis-destroyer-line,8,movement_planning,"(13, -2)","(4, 9)",11,73,True,15,tbs_short,0,1,,,,,,1,within tactical range with line of sight,9,delivered,False,,,tbs_short,0,False,3.26
MSG-00090,mission_order,allies,IBS-U-USN-ERMA-IOWA,allies-battle-line,8,movement_planning,"(28, -2)","(28, -2)",0,73,False,13,tbs_short,0,0,,,,,,0,同编队当面下令：当面交办，不占用通信链路,8,delivered,True,,,face_to_face,0,True,0.0
MSG-00091,mission_order,allies,IBS-U-USN-ERMA-IOWA,allies-cruiser-line,8,movement_planning,"(28, -2)","(0, 19)",28,73,True,13,wt_reencipher_relay,1,2,,,,,,2,coded set but the ends are under different ciphers,10,delivered,False,,DIRECT_TBS_AVAILABLE_BUT_NOT_USED;UNJUSTIFIED_REENCIPHER;UNJUSTIFIED_RELAY;MISSING_RELAY_OR_CRYPTO_PROVENANCE;DISTANCE_DELAY_BUG,tbs_short,0,True,8.29
MSG-00092,mission_order,allies,IBS-U-USN-ERMA-IOWA,allies-destroyer-line,8,movement_planning,"(28, -2)","(6, 30)",32,73,True,13,wt_reencipher_relay,1,2,,,,,,2,coded set but the ends are under different ciphers,10,delivered,False,,DIRECT_TBS_AVAILABLE_BUT_NOT_USED;UNJUSTIFIED_REENCIPHER;UNJUSTIFIED_RELAY;MISSING_RELAY_OR_CRYPTO_PROVENANCE;DISTANCE_DELAY_BUG,tbs_short,0,True,9.48
MSG-00093,contact_report,axis,IBS-U-IJN-ERMA-SHIMAKAZE,axis-battle-line,8,movement_planning,"(4, 9)","(13, -2)",11,73,True,15,tbs_short,0,0,,,,,,0,within tactical range with line of sight,8,delivered,False,axis-destroyer-line,,tbs_short,0,False,3.26
MSG-00094,acknowledgement,axis,IBS-U-IJN-ERMA-SHIMAKAZE,axis-battle-line,8,movement_planning,"(4, 9)","(13, -2)",11,73,True,15,tbs_short,0,0,,,,,,0,within tactical range with line of sight,8,delivered,False,,,tbs_short,0,False,3.26
MSG-00095,contact_report,allies,IBS-U-USN-ERMA-DES-MOINES,allies-battle-line,8,movement_planning,"(0, 19)","(28, -2)",28,73,True,13,wt_reencipher_relay,1,2,,,,,,2,coded set but the ends are under different ciphers,10,delivered,False,allies-cruiser-line,DIRECT_TBS_AVAILABLE_BUT_NOT_USED;UNJUSTIFIED_REENCIPHER;UNJUSTIFIED_RELAY;MISSING_RELAY_OR_CRYPTO_PROVENANCE;DISTANCE_DELAY_BUG,tbs_short,0,True,8.29
