cell,geometry,fleet,seed,sample_kind,n_plans,j_ref,j_tied_top,j_tiers,threat_weight,options_total,cross_total,cross_low,cross_high,attacker_id,launcher_id,launch_side,launch_angle,setting_index,launch_at_mf,salvo,torpedo_heading,launch_hex,e_hits_direct,direct_aspect,direct_distance,direct_contact,tau0_hex,tau0_heading,tau0_cost,tau0_plan,tau0_j,c_route_changed,c_plan_changed,c_hex,c_heading,c_cost,c_plan,c_j,c_denial,c_heading_change,c_speed_loss,c_deviation,c_contact,c_p_hit,d_route_changed,d_hex,d_heading,d_cost,d_j,d_denial,d_heading_change,d_speed_loss,d_deviation,d_contact,c1_route_changed,c1_hex,c1_denial,c1_denial_norm,v_direct_vp,v_direct_norm,v_denial_norm,v_denial_d_norm,ca_vp
opposing:1v1,opposing,1v1,26641132,low,580,5.333333333333333,13,6,0.3425925925925926,96,5,5,0,IBS-U-IJN-FUBUKI,TT1,starboard,Y,0,3,2,3,W18,0.08333333333333333,broadside,7,t3.i2@W25,U26,1,5,1S4,5.333333333333333,True,True,U26,2,5,1S4S,5.333333333333333,0.0,1,0,0,,0.0,True,U26,2,5,5.333333333333333,0.0,1,0,0,,True,U26,0.0,0.0,0.8333333333333333,0.028549382716049385,0.0,0.0,10
opposing:1v1,opposing,1v1,27453349,low,580,5.333333333333333,13,6,0.3425925925925926,96,5,5,0,IBS-U-IJN-FUBUKI,TT1,starboard,Y,0,3,2,3,W18,0.08333333333333333,broadside,7,t3.i2@W25,U26,1,5,1S4,5.333333333333333,True,True,U26,2,5,1S4S,5.333333333333333,0.0,1,0,0,,0.0,True,U26,2,5,5.333333333333333,0.0,1,0,0,,True,U26,0.0,0.0,0.8333333333333333,0.028549382716049385,0.0,0.0,10
opposing:1v1,opposing,1v1,28265566,low,580,5.333333333333333,13,6,0.3425925925925926,96,5,5,0,IBS-U-IJN-FUBUKI,TT1,starboard,X,1,2,2,3,V18,0.08333333333333333,broadside,7,t3.i2@W25,U26,1,5,1S4,5.333333333333333,True,True,U26,2,5,1S4S,5.333333333333333,0.0,1,0,0,,0.0,True,U26,2,5,5.333333333333333,0.0,1,0,0,,True,U26,0.0,0.0,0.8333333333333333,0.028549382716049385,0.0,0.0,10
opposing:1v1,opposing,1v1,29077783,low,580,5.333333333333333,13,6,0.3425925925925926,96,5,5,0,IBS-U-IJN-FUBUKI,TT1,starboard,X,1,3,2,3,W18,0.08333333333333333,broadside,7,t3.i3@X24,U26,1,5,1S4,5.333333333333333,True,True,U26,2,5,1S4S,5.333333333333333,0.0,1,0,0,,0.0,True,U26,2,5,5.333333333333333,0.0,1,0,0,,True,U26,0.0,0.0,0.8333333333333333,0.028549382716049385,0.0,0.0,10
opposing:1v1,opposing,1v1,29890000,low,580,5.333333333333333,13,6,0.3425925925925926,96,5,5,0,IBS-U-IJN-FUBUKI,TT1,starboard,X,1,1,2,3,U19,0.08333333333333333,broadside,7,t3.i1@V25,U26,1,5,1S4,5.333333333333333,True,True,U26,2,5,1S4S,5.333333333333333,0.0,1,0,0,,0.0,True,U26,2,5,5.333333333333333,0.0,1,0,0,,True,U26,0.0,0.0,0.8333333333333333,0.028549382716049385,0.0,0.0,10
opposing:1v1,opposing,1v1,30702217,low,580,5.333333333333333,13,6,0.3425925925925926,96,5,5,0,IBS-U-IJN-FUBUKI,TT1,starboard,X,1,1,2,3,U19,0.08333333333333333,broadside,7,t3.i1@V25,U26,1,5,1S4,5.333333333333333,True,True,U26,2,5,1S4S,5.333333333333333,0.0,1,0,0,,0.0,True,U26,2,5,5.333333333333333,0.0,1,0,0,,True,U26,0.0,0.0,0.8333333333333333,0.028549382716049385,0.0,0.0,10
opposing:1v1,opposing,1v1,31514434,low,580,5.333333333333333,13,6,0.3425925925925926,96,5,5,0,IBS-U-IJN-FUBUKI,TT1,starboard,Y,0,3,2,3,W18,0.08333333333333333,broadside,7,t3.i2@W25,U26,1,5,1S4,5.333333333333333,True,True,U26,2,5,1S4S,5.333333333333333,0.0,1,0,0,,0.0,True,U26,2,5,5.333333333333333,0.0,1,0,0,,True,U26,0.0,0.0,0.8333333333333333,0.028549382716049385,0.0,0.0,10
opposing:1v1,opposing,1v1,32326651,low,580,5.333333333333333,13,6,0.3425925925925926,96,5,5,0,IBS-U-IJN-FUBUKI,TT1,starboard,Y,0,2,2,3,V18,0.08333333333333333,broadside,7,t3.i1@V25,U26,1,5,1S4,5.333333333333333,True,True,U26,2,5,1S4S,5.333333333333333,0.0,1,0,0,,0.0,True,U26,2,5,5.333333333333333,0.0,1,0,0,,True,U26,0.0,0.0,0.8333333333333333,0.028549382716049385,0.0,0.0,10
opposing:1v1,opposing,1v1,33138868,low,580,5.333333333333333,13,6,0.3425925925925926,96,5,5,0,IBS-U-IJN-FUBUKI,TT1,starboard,X,1,3,2,3,W18,0.08333333333333333,broadside,7,t3.i3@X24,U26,1,5,1S4,5.333333333333333,True,True,U26,2,5,1S4S,5.333333333333333,0.0,1,0,0,,0.0,True,U26,2,5,5.333333333333333,0.0,1,0,0,,True,U26,0.0,0.0,0.8333333333333333,0.028549382716049385,0.0,0.0,10
opposing:1v1,opposing,1v1,33951085,low,580,5.333333333333333,13,6,0.3425925925925926,96,5,5,0,IBS-U-IJN-FUBUKI,TT1,starboard,Y,0,3,2,3,W18,0.08333333333333333,broadside,7,t3.i2@W25,U26,1,5,1S4,5.333333333333333,True,True,U26,2,5,1S4S,5.333333333333333,0.0,1,0,0,,0.0,True,U26,2,5,5.333333333333333,0.0,1,0,0,,True,U26,0.0,0.0,0.8333333333333333,0.028549382716049385,0.0,0.0,10
opposing:1v1,opposing,1v1,34763302,low,580,5.333333333333333,13,6,0.3425925925925926,96,5,5,0,IBS-U-IJN-FUBUKI,TT1,starboard,X,1,3,2,3,W18,0.08333333333333333,broadside,7,t3.i3@X24,U26,1,5,1S4,5.333333333333333,True,True,U26,2,5,1S4S,5.333333333333333,0.0,1,0,0,,0.0,True,U26,2,5,5.333333333333333,0.0,1,0,0,,True,U26,0.0,0.0,0.8333333333333333,0.028549382716049385,0.0,0.0,10
opposing:1v1,opposing,1v1,35575519,low,580,5.333333333333333,13,6,0.3425925925925926,96,5,5,0,IBS-U-IJN-FUBUKI,TT1,starboard,Y,0,2,2,3,V18,0.08333333333333333,broadside,7,t3.i1@V25,U26,1,5,1S4,5.333333333333333,True,True,U26,2,5,1S4S,5.333333333333333,0.0,1,0,0,,0.0,True,U26,2,5,5.333333333333333,0.0,1,0,0,,True,U26,0.0,0.0,0.8333333333333333,0.028549382716049385,0.0,0.0,10
opposing:1v1,opposing,1v1,36387736,low,580,5.333333333333333,13,6,0.3425925925925926,96,5,5,0,IBS-U-IJN-FUBUKI,TT1,starboard,Y,0,2,2,3,V18,0.08333333333333333,broadside,7,t3.i1@V25,U26,1,5,1S4,5.333333333333333,True,True,U26,2,5,1S4S,5.333333333333333,0.0,1,0,0,,0.0,True,U26,2,5,5.333333333333333,0.0,1,0,0,,True,U26,0.0,0.0,0.8333333333333333,0.028549382716049385,0.0,0.0,10
opposing:1v1,opposing,1v1,37199953,low,580,5.333333333333333,13,6,0.3425925925925926,96,5,5,0,IBS-U-IJN-FUBUKI,TT1,starboard,X,1,2,2,3,V18,0.08333333333333333,broadside,7,t3.i2@W25,U26,1,5,1S4,5.333333333333333,True,True,U26,2,5,1S4S,5.333333333333333,0.0,1,0,0,,0.0,True,U26,2,5,5.333333333333333,0.0,1,0,0,,True,U26,0.0,0.0,0.8333333333333333,0.028549382716049385,0.0,0.0,10
opposing:1v1,opposing,1v1,38012170,low,580,5.333333333333333,13,6,0.3425925925925926,96,5,5,0,IBS-U-IJN-FUBUKI,TT1,starboard,X,1,2,2,3,V18,0.08333333333333333,broadside,7,t3.i2@W25,U26,1,5,1S4,5.333333333333333,True,True,U26,2,5,1S4S,5.333333333333333,0.0,1,0,0,,0.0,True,U26,2,5,5.333333333333333,0.0,1,0,0,,True,U26,0.0,0.0,0.8333333333333333,0.028549382716049385,0.0,0.0,10
opposing:1v1,opposing,1v1,38824387,low,580,5.333333333333333,13,6,0.3425925925925926,96,5,5,0,IBS-U-IJN-FUBUKI,TT1,starboard,X,1,2,2,3,V18,0.08333333333333333,broadside,7,t3.i2@W25,U26,1,5,1S4,5.333333333333333,True,True,U26,2,5,1S4S,5.333333333333333,0.0,1,0,0,,0.0,True,U26,2,5,5.333333333333333,0.0,1,0,0,,True,U26,0.0,0.0,0.8333333333333333,0.028549382716049385,0.0,0.0,10
opposing:1v1,opposing,1v1,39636604,low,580,5.333333333333333,13,6,0.3425925925925926,96,5,5,0,IBS-U-IJN-FUBUKI,TT1,starboard,X,1,1,2,3,U19,0.08333333333333333,broadside,7,t3.i1@V25,U26,1,5,1S4,5.333333333333333,True,True,U26,2,5,1S4S,5.333333333333333,0.0,1,0,0,,0.0,True,U26,2,5,5.333333333333333,0.0,1,0,0,,True,U26,0.0,0.0,0.8333333333333333,0.028549382716049385,0.0,0.0,10
opposing:1v1,opposing,1v1,40448821,low,580,5.333333333333333,13,6,0.3425925925925926,96,5,5,0,IBS-U-IJN-FUBUKI,TT1,starboard,X,1,2,2,3,V18,0.08333333333333333,broadside,7,t3.i2@W25,U26,1,5,1S4,5.333333333333333,True,True,U26,2,5,1S4S,5.333333333333333,0.0,1,0,0,,0.0,True,U26,2,5,5.333333333333333,0.0,1,0,0,,True,U26,0.0,0.0,0.8333333333333333,0.028549382716049385,0.0,0.0,10
opposing:1v1,opposing,1v1,41261038,low,580,5.333333333333333,13,6,0.3425925925925926,96,5,5,0,IBS-U-IJN-FUBUKI,TT1,starboard,Y,0,2,2,3,V18,0.08333333333333333,broadside,7,t3.i1@V25,U26,1,5,1S4,5.333333333333333,True,True,U26,2,5,1S4S,5.333333333333333,0.0,1,0,0,,0.0,True,U26,2,5,5.333333333333333,0.0,1,0,0,,True,U26,0.0,0.0,0.8333333333333333,0.028549382716049385,0.0,0.0,10
