geometry,eta_r,eta_v,H,K,restricted_value,lower_bound,upper_bound,bound_width,relative_gap,P_lower,P_upper,point_estimate,sign_certified,certified_sign,n_br_evals,n_global_starts,solver_status,run_status,iters,seconds
head_on,1.2,1.0,6,3,8.9955,8.9955,27.6312,18.6357,2.0717,5.7832,24.4188,15.101,1,1,59730,32,sign-certified-value-not-tight,certified+,3,378.2
head_on,1.2,1.0,6,4,8.9955,8.9955,27.6312,18.6357,2.0717,5.7832,24.4188,15.101,1,1,59730,32,sign-certified-value-not-tight,certified+,3,382.7
head_on,1.2,1.0,6,6,12.3637,12.3637,19.1278,6.7641,0.5471,9.1514,15.9154,12.5334,1,1,129435,32,sign-certified-value-not-tight,certified+,4,1187.8
head_on,1.2,1.0,6,8,23.5341,23.5341,37.7317,14.1975,0.6033,20.3218,34.5193,27.4206,1,1,99027,32,sign-certified-value-not-tight,certified+,3,461.5
head_on,1.2,1.2,6,3,12.1599,12.1599,27.3699,15.21,1.2508,8.9476,24.1576,16.5526,1,1,56606,32,sign-certified-value-not-tight,certified+,3,448.5
head_on,1.2,1.2,6,4,12.1599,12.1599,27.3699,15.21,1.2508,8.9476,24.1576,16.5526,1,1,56606,32,sign-certified-value-not-tight,certified+,3,447.7
head_on,1.2,1.2,6,6,14.471,14.471,22.4523,7.9813,0.5515,11.2587,19.24,15.2493,1,1,125855,32,sign-certified-value-not-tight,certified+,4,1285.0
parallel,0.8,0.8,6,3,-5.6856,-5.6856,1.324,7.0095,1.2329,-4.6169,2.3926,-1.1122,0,0,55587,32,uncertified,UNCERTIFIED,3,286.9
parallel,0.8,0.8,6,4,-5.6856,-5.6856,1.324,7.0095,1.2329,-4.6169,2.3926,-1.1122,0,0,55587,32,uncertified,UNCERTIFIED,3,283.6
parallel,0.8,0.8,6,6,-10.9997,-10.9997,-3.6855,7.3142,0.6649,-9.9311,-2.6169,-6.274,1,-1,125831,32,sign-certified-value-not-tight,certified-,4,870.7
parallel,0.8,1.0,6,3,-15.0097,-15.0097,4.6195,19.6292,1.3078,-13.9411,5.6882,-4.1264,0,0,52958,32,uncertified,UNCERTIFIED,3,336.7
parallel,0.8,1.0,6,4,-15.0097,-15.0097,4.6195,19.6292,1.3078,-13.9411,5.6882,-4.1264,0,0,52958,32,uncertified,UNCERTIFIED,3,330.6
parallel,0.8,1.0,6,6,-6.6844,-6.6844,-4.2243,2.46,0.368,-5.6158,-3.1557,-4.3857,1,-1,253707,32,sign-certified-value-not-tight,certified-,8,1976.8
parallel,0.8,1.2,6,3,-4.3558,-4.3558,-0.4204,3.9354,0.9035,-3.2872,0.6482,-1.3195,0,0,55968,32,uncertified,UNCERTIFIED,3,189.6
parallel,0.8,1.2,6,4,-4.3558,-4.3558,-0.4204,3.9354,0.9035,-3.2872,0.6482,-1.3195,0,0,55968,32,uncertified,UNCERTIFIED,3,188.1
parallel,0.8,1.2,6,6,-7.2153,-7.2153,-1.2865,5.9288,0.8217,-6.1467,-0.2179,-3.1823,1,-1,128567,32,sign-certified-value-not-tight,certified-,4,1081.4
parallel,1.0,1.0,6,6,-0.3445,-0.3445,8.8283,9.1728,9.1728,-0.3445,8.8283,4.2419,0,0,132214,32,uncertified,UNCERTIFIED,4,1065.2
parallel,1.0,1.2,6,6,1.7387,1.7387,10.347,8.6084,4.9512,1.7387,10.347,6.0428,1,1,136550,32,sign-certified-value-not-tight,certified+,4,1099.8
parallel,1.2,0.8,6,3,13.2068,13.2068,24.7538,11.547,0.8743,11.8717,23.4187,17.6452,1,1,57147,32,sign-certified-value-not-tight,certified+,3,420.2
parallel,1.2,0.8,6,4,13.2068,13.2068,24.7538,11.547,0.8743,11.8717,23.4187,17.6452,1,1,57147,32,sign-certified-value-not-tight,certified+,3,422.4
parallel,1.2,0.8,6,6,7.9148,7.9148,13.5817,5.6669,0.716,6.5798,12.2467,9.4132,1,1,128824,32,sign-certified-value-not-tight,certified+,4,1066.2
parallel,1.2,1.0,6,3,16.5109,16.5109,25.9657,9.4549,0.5726,15.1758,24.6307,19.9032,1,1,57137,32,sign-certified-value-not-tight,certified+,3,424.3
parallel,1.2,1.0,6,4,16.5109,16.5109,25.9657,9.4549,0.5726,15.1758,24.6307,19.9032,1,1,57137,32,sign-certified-value-not-tight,certified+,3,415.2
parallel,1.2,1.0,6,6,11.9695,11.9695,17.2659,5.2964,0.4425,10.6345,15.9309,13.2827,1,1,124055,32,sign-certified-value-not-tight,certified+,4,630.0
parallel,1.2,1.2,6,3,19.5079,19.5079,25.0084,5.5005,0.282,18.1728,23.6733,20.9231,1,1,54631,32,sign-certified-value-not-tight,certified+,3,285.5
parallel,1.2,1.2,6,4,19.5079,19.5079,25.0084,5.5005,0.282,18.1728,23.6733,20.9231,1,1,54631,32,sign-certified-value-not-tight,certified+,3,290.3
parallel,1.2,1.2,6,6,9.5296,9.5296,17.5502,8.0206,0.8417,8.1945,16.2151,12.2048,1,1,123991,32,sign-certified-value-not-tight,certified+,4,885.1
